符合條件商品
資料日期：2023年  5月  5日
策略,	周大於70
序號,	代碼,	商品,	成交,	漲幅%,	總量,	70
執行時間：2023-05-07 13:04 符合檔數(1772)
441	,2379.TW,瑞昱,366,-2.01,2027,11
442	,2387.TW,精元,45.45,-0.44,668,11
443	,2425.TW,承啟,29.8,-0.83,659,11
444	,2427.TW,三商電,15,-1.64,984,11
445	,2636.TW,台驊投控,76.9,1.32,432,11
446	,2723.TW,美食-KY,158.5,0.32,1707,11
447	,2850.TW,新產,50.6,-0.98,192,11
448	,2892.TW,第一金,27.1,0.18,10870,11
449	,2926.TW,誠品生活,66,-0.6,14,11
450	,3045.TW,台灣大,104.5,0,3492,11
451	,3058.TW,立德,26,0,5339,11
452	,3131.TW,弘塑,346.5,2.67,328,11
453	,3171.TW,新洲,17.65,0.28,8,11
454	,3211.TW,順達,77,-0.65,134,11
455	,3324.TW,雙鴻,240.5,2.12,15226,11
456	,3346.TW,麗清,38.2,0.79,413,11
457	,3380.TW,明泰,35,1.6,1915,11
458	,3498.TW,陽程,33.35,-0.3,48,11
459	,3523.TW,迎輝,17.45,-0.29,4,11
460	,3528.TW,安馳,69.3,-2.39,280,11
461	,3558.TW,神準,284,1.97,1574,11
462	,3591.TW,艾笛森,25.05,7.05,6503,11
463	,3594.TW,磐儀,48.9,1.03,886,11
464	,4137.TW,麗豐-KY,230,3.6,697,11
465	,4207.TW,環泰,15.15,-0.66,682,11
466	,4503.TW,金雨,52.5,-1.87,405,11
467	,4532.TW,瑞智,18,-0.28,317,11
468	,4741.TW,泓瀚,38.55,0.13,403,11
469	,4746.TW,台耀,92.2,-2.33,6673,11
470	,4760.TW,勤凱,81,0.87,182,11
471	,4907.TW,富宇,36.15,0.14,64,11
472	,4953.TW,緯軟,125,-0.4,2306,11
473	,4960.TW,誠美材,11.7,-0.43,1705,11
474	,5288.TW,豐祥-KY,177,0.28,37,11
475	,5312.TW,寶島科,67.4,1.51,191,11
476	,5328.TW,華容,14.4,9.09,2756,11
477	,5353.TW,台林,49.5,1.85,3882,11
478	,5371.TW,中光電,75.8,1.61,4967,11
479	,5508.TW,永信建,64.8,0.15,758,11
480	,5515.TW,建國,13.1,-0.38,138,11
481	,5871.TW,中租-KY,220.5,-0.23,2862,11
482	,6005.TW,群益證,13.85,-1.77,4199,11
483	,6103.TW,合邦,38.25,1.19,4,11
484	,6116.TW,彩晶,12.15,0.41,3462,11
485	,6161.TW,捷波,34.75,-0.71,344,11
486	,6163.TW,華電網,24.4,-1.81,3636,11
487	,6166.TW,凌華,60.1,-0.66,54,11
488	,6195.TW,詩肯,46.75,-0.11,7,11
489	,6208.TW,日揚,54.5,0,27,11
490	,6212.TW,理銘,48.35,0.73,1,11
491	,6231.TW,系微,122,-1.21,610,11
492	,6236.TW,康呈,23.9,0,0,11
493	,6274.TW,台燿,69,6.15,11408,11
494	,6277.TW,宏正,85.7,-1.04,213,11
495	,6485.TW,點序,100,1.01,667,11
496	,6516.TW,勤崴國際,99.2,-2.27,159,11
497	,6530.TW,創威,27,-4.26,416,11
498	,6531.TW,愛普*,283,2.54,8311,11
499	,6538.TW,倉和,109,-2.24,884,11
500	,6591.TW,動力-KY,52,0,430,11
501	,6613.TW,朋億*,99.7,0,43,11
502	,6703.TW,軒郁,192,2.67,310,11
503	,6733.TW,博晟生醫,41,-2.38,2302,11
504	,6855.TW,數泓科,87,-0.57,14,11
505	,8105.TW,凌巨,13.15,-0.75,850,11
506	,8289.TW,泰藝,43.25,1.53,345,11
507	,8928.TW,鉅明,38.2,1.73,207,11
508	,9905.TW,大華,25.25,0,34,11
509	,9907.TW,統一實,20.7,0.73,2387,11
510	,9917.TW,中保科,109.5,0.92,462,11
511	,9942.TW,茂順,149.5,-0.66,1339,11
512	,1217.TW,愛之味,11.25,0.45,966,10
513	,1220.TW,台榮,16,-0.62,217,10
514	,1305.TW,華夏,24.15,-1.83,1683,10
515	,1468.TW,昶和,14.2,0.35,30,10
516	,1475.TW,業旺,53.3,0.19,13,10
517	,1514.TW,亞力,49.3,0.72,7847,10
518	,1525.TW,江申,70.1,-1.96,107,10
519	,1591.TW,駿吉-KY,28.3,1.07,310,10
520	,1713.TW,國化,29.5,0.17,94,10
521	,1783.TW,和康生,71.5,3.17,14822,10
522	,1796.TW,金穎生技,139,3.73,1383,10
523	,1813.TW,寶利徠,22.45,0,53,10
524	,1906.TW,寶隆,16.35,0,182,10
525	,2002.TW,中鋼,29.1,0,18639,10
526	,2007.TW,燁興,10.6,1.44,195,10
