符合條件商品
資料日期：2023年  5月  8日
策略,	漲2次數
序號,	代碼,	商品,	成交,	漲幅%,	總量,	漲2次數
執行時間：2023-05-08 23:59 符合檔數(1777)
362	,3122.TW,笙泉,25.7,0,103,46
363	,3221.TW,台嘉碩,28.7,-1.37,434,46
364	,3390.TW,旭軟,18,-0.83,51,46
365	,3511.TW,矽瑪,33.25,-1.04,395,46
366	,3665.TW,貿聯-KY,260,0.78,354,46
367	,4755.TW,三福化,127.5,-4.85,1295,46
368	,5245.TW,智晶,47.2,0.96,47,46
369	,5347.TW,世界,89.8,0.11,1820,46
370	,5608.TW,四維航,23.4,-4.1,5151,46
371	,6170.TW,統振,39.3,0,413,46
372	,6442.TW,光聖,54.2,-1.99,301,46
373	,6546.TW,正基,83,0,119,46
374	,6605.TW,帝寶,102.5,3.85,1661,46
375	,6806.TW,森崴能源,119,1.71,12165,46
376	,6811.TW,宏碁資訊,290,4.88,2290,46
377	,8016.TW,矽創,223.5,0,593,46
378	,8081.TW,致新,179.5,1.99,225,46
379	,8472.TW,夠麻吉,43,0,0,46
380	,9928.TW,中視,18.5,-0.8,126,46
381	,9955.TW,佳龍,26.9,-8.97,10503,46
382	,1258.TW,其祥-KY,26.8,0,14,45
383	,2049.TW,上銀,233,0,980,45
384	,2066.TW,世德,96.4,-0.52,149,45
385	,2399.TW,映泰,15.3,0.66,446,45
386	,2409.TW,友達,17.25,-0.29,29263,45
387	,2428.TW,興勤,160.5,2.23,1491,45
388	,2605.TW,新興,21.5,-0.69,1403,45
389	,2707.TW,晶華,289,-1.2,780,45
390	,3004.TW,豐達科,100.5,2.03,1106,45
391	,3008.TW,大立光,2000,1.27,542,45
392	,3062.TW,建漢,22.4,0,1872,45
393	,3406.TW,玉晶光,383,0.39,809,45
394	,3540.TW,曜越,41.8,4.76,1586,45
395	,3708.TW,上緯投控,102.5,-0.49,539,45
396	,4147.TW,中裕,132,1.15,1888,45
397	,4168.TW,醣聯,32.05,-2.14,674,45
398	,4413.TW,飛寶企業,14.85,0.68,8,45
399	,4426.TW,利勤,24.5,-0.2,113,45
400	,5457.TW,宣德,52.8,-0.94,246,45
401	,5703.TW,亞都,20.7,0,31,45
402	,6175.TW,立敦,38,-0.78,332,45
403	,6182.TW,合晶,43.8,-0.34,1640,45
404	,6220.TW,岳豐,27.65,-1.43,1029,45
405	,6426.TW,統新,60.8,-0.65,38,45
406	,6465.TW,威潤,22.6,-7.76,397,45
407	,6578.TW,達邦蛋白,18.1,0.28,272,45
408	,6649.TW,台生材,40.25,-0.86,66,45
409	,6668.TW,中揚光,40.15,-1.35,65,45
410	,6743.TW,安普新,59.3,-1.82,210,45
411	,8024.TW,佑華,23.95,-0.62,62,45
412	,8067.TW,志旭,14.65,1.03,14,45
413	,8933.TW,愛地雅,11.85,-0.42,651,45
414	,1732.TW,毛寶,27.4,-0.9,133,44
415	,1786.TW,科妍,72.6,-1.76,433,44
416	,2007.TW,燁興,10.55,-0.47,257,44
417	,2017.TW,官田鋼,17.35,-0.29,362,44
418	,2201.TW,裕隆,78.1,0.9,6802,44
419	,2636.TW,台驊投控,75.5,-1.82,506,44
420	,3016.TW,嘉晶,64.2,0.31,263,44
421	,3078.TW,僑威,55.5,2.21,9224,44
422	,3085.TW,新零售,21.3,0,2,44
