符合條件商品
資料日期：2023年  5月  8日
策略,	00統計2022年漲幅
序號,	代碼,	商品,	成交,	漲幅%,	總量,	最高價,	最低價,	漲幅
執行時間：2023-05-09 01:25 符合檔數(1736)
283	,3105.TW,穩懋,166.5,0.91,1658,239.5,107.5,122.79
284	,2436.TW,偉詮電,47.65,-1.95,687,81.2,36.45,122.77
285	,3231.TW,緯創,49.9,1.53,53681,51.4,23.1,122.51
286	,2732.TW,六角,187,-2.6,4246,201.5,90.6,122.41
287	,3086.TW,華義,75.8,1.74,4,130.5,58.7,122.32
288	,6806.TW,森崴能源,119,1.71,12165,127,57.2,122.03
289	,1514.TW,亞力,51.4,4.26,27053,54.5,24.55,122
290	,3032.TW,偉訓,48.05,0.52,2827,57.8,26.05,121.88
291	,2421.TW,建準,66,7.14,70603,67.5,30.45,121.67
292	,8467.TW,波力-KY,58.8,-0.51,59,79.8,36,121.67
293	,2402.TW,毅嘉,29.05,5.44,18435,30.75,13.9,121.22
294	,3515.TW,華擎,134,1.52,238,181.5,82.1,121.07
295	,2327.TW,國巨,504,-0.4,1626,579,262,120.99
296	,3305.TW,昇貿,49.8,-1.39,756,78.2,35.4,120.9
297	,6462.TW,神盾,83,-0.6,63,121,54.8,120.8
298	,2740.TW,天蔥,46,-0.97,1,54.9,24.9,120.48
299	,2630.TW,亞航,31.55,-5.82,4685,34.6,15.7,120.38
300	,4114.TW,健喬,47.5,-1.35,5730,55.8,25.35,120.12
301	,3540.TW,曜越,41.8,4.76,1586,44.9,20.4,120.1
302	,1783.TW,和康生,70.5,-1.4,5385,75,34.2,119.3
303	,6613.TW,朋億*,99.5,-0.2,80,173.5,79.4,118.51
304	,6649.TW,台生材,40.25,-0.86,66,49,22.45,118.26
305	,2613.TW,中櫃,22.35,-0.45,46,43.1,19.8,117.68
306	,6446.TW,藥華藥,363.5,-5.58,5113,622,286,117.48
307	,5225.TW,東科-KY,41.85,2.57,1250,44.25,20.35,117.44
308	,3645.TW,達邁,33.85,-0.44,63,62.7,28.85,117.33
309	,9955.TW,佳龍,26.9,-8.97,10503,35.5,16.35,117.13
310	,6590.TW,普鴻,104.5,8.52,573,108.5,50,117
311	,3535.TW,晶彩科,20.55,-1.2,350,37.3,17.2,116.86
312	,3532.TW,台勝科,151.5,1,818,273,126,116.67
313	,8234.TW,新漢,39.25,1.29,452,48.85,22.6,116.15
314	,5272.TW,笙科,28.2,-1.74,150,48.6,22.5,116
315	,5236.TW,凌陽創新,90.1,0.33,105,127,58.8,115.99
316	,4164.TW,承業醫,71.9,-0.96,4243,75.7,35.05,115.98
317	,4162.TW,智擎,99.6,-1.87,1100,150.5,69.7,115.93
318	,4303.TW,信立,17.3,0,47,31.5,14.6,115.75
319	,2707.TW,晶華,289,-1.2,780,338.5,157,115.61
320	,6213.TW,聯茂,70.7,0.43,417,111,51.5,115.53
321	,2458.TW,義隆,93.2,-2.71,2448,162.5,75.4,115.52
322	,4536.TW,拓凱,206.5,0.98,645,251,116.5,115.45
323	,5344.TW,立衛,15.85,0,23,27.25,12.65,115.42
324	,6259.TW,百徽,22.55,-0.22,0,38.75,18,115.28
325	,4581.TW,光隆精密-KY,56.4,0.36,125,64,29.75,115.13
326	,3701.TW,大眾控,61.3,2.85,2093,67.5,31.4,114.97
327	,4543.TW,萬在,27.6,1.1,142,35.35,16.45,114.89
328	,3518.TW,柏騰,32.7,1.55,693,35.95,16.75,114.63
329	,3037.TW,欣興,161,5.57,65660,228,106.5,114.08
330	,8085.TW,福華,35,4.01,14211,36.5,17.05,114.08
331	,5210.TW,寶碩,16.9,-0.88,133,30.5,14.25,114.04
332	,3092.TW,鴻碩,37.45,1.08,237,67.2,31.4,114.01
333	,3257.TW,虹冠電,61,0.83,433,74,34.6,113.87
334	,3176.TW,基亞,34.1,-2.57,265,60.9,28.5,113.68
335	,2415.TW,錩新,24.5,-0.2,45,42.6,19.95,113.53
336	,4175.TW,杏一,142,9.65,2912,142,66.5,113.53
337	,2038.TW,海光,20.3,0.25,182,36.45,17.1,113.16
338	,8433.TW,弘帆,71.4,0.56,97,89.4,42,112.86
339	,5703.TW,亞都,20.7,0,31,27,12.7,112.6
340	,3591.TW,艾笛森,25.55,2,7297,26.45,12.45,112.45
341	,8044.TW,網家,56.3,2.18,558,91.9,43.3,112.24
342	,4160.TW,創源,48.8,9.91,1028,48.8,23,112.17
343	,2745.TW,五福,42,0,122,60.2,28.4,111.97
344	,2424.TW,隴華,34.05,-1.87,364,35.5,16.75,111.94
345	,2606.TW,裕民,52.6,1.35,2347,71.2,33.6,111.9
346	,1608.TW,華榮,16.6,-0.9,1260,24.25,11.45,111.79
347	,2460.TW,建通,22.55,-0.66,352,25.7,12.15,111.52
348	,6243.TW,迅杰,40.8,9.97,5046,48.6,23,111.3
349	,6691.TW,洋基工程,294,-0.17,278,310,147,110.88
350	,3066.TW,李洲,22.6,-0.66,20,42.55,20.2,110.64
351	,5251.TW,天鉞電,21.3,-0.7,93,32,15.2,110.53
352	,3530.TW,晶相光,77.6,0,53,130.5,62,110.48
353	,2641.TW,正德,18.55,-1.59,822,29.95,14.25,110.18
354	,8489.TW,三貝德,23.6,0,47,42,20,110
355	,6228.TW,全譜,13,2.36,17,22.45,10.7,109.81
356	,3685.TW,元創精密,20.9,-0.24,67,38.25,18.25,109.59
357	,8016.TW,矽創,223.5,0,593,285,136,109.56
358	,1784.TW,訊聯,72,2.86,3230,73.5,35.1,109.4
359	,6199.TW,天品,18.6,0,14,32.65,15.6,109.29
360	,8088.TW,品安,32.8,0.61,1494,35.55,17,109.12
361	,6523.TW,達爾膚,146,1.39,823,158,75.6,108.99
362	,3081.TW,聯亞,102,-1.45,1467,188,90,108.89
363	,3217.TW,優群,104,-0.48,443,117.5,56.3,108.7
364	,6127.TW,九豪,23.55,-3.29,5930,25.45,12.2,108.61
365	,4558.TW,寶緯,29.75,2.94,124,44.6,21.4,108.41
366	,1538.TW,正峰,9.64,0,2,11,5.28,108.33
367	,2495.TW,普安,25.4,-0.78,2904,28.2,13.55,108.12
368	,3520.TW,華盈,21.2,-1.62,522,27.05,13,108.08
369	,1786.TW,科妍,72.6,-1.76,433,80.7,38.8,107.99
370	,3321.TW,同泰,6.42,-0.31,56,12.7,6.11,107.86
371	,3218.TW,大學光,404,-1.22,163,458,220.5,107.71
372	,4192.TW,杏國,19.2,-1.54,34,38,18.3,107.65
373	,3022.TW,威強電,81.5,0.87,1268,88.4,42.6,107.51
374	,6666.TW,羅麗芬-KY,88.9,1.83,113,104.5,50.4,107.34
375	,3131.TW,弘塑,338,-2.45,503,355,171.5,107
376	,1609.TW,大亞,32,2.24,68171,32.3,15.65,106.39
377	,6163.TW,華電網,24.85,1.84,7355,27.95,13.55,106.27
378	,2753.TW,八方雲集,176.5,0,329,261.5,127,105.91
379	,5014.TW,建錩,16.35,1.55,337,24.7,12,105.83
380	,6669.TW,緯穎,1125,-0.44,1448,1255,610,105.74
