符合條件商品
資料日期：2023年  5月  8日
策略,	紅K次數
序號,	代碼,	商品,	成交,	漲幅%,	總量,	紅K次數
執行時間：2023-05-09 00:17 符合檔數(1736)
457	,3128.TW,昇銳,40.1,-0.25,435,116
458	,3272.TW,東碩,43.45,0.35,207,116
459	,3290.TW,東浦,28.35,2.9,1409,116
460	,3324.TW,雙鴻,250,3.95,12954,116
461	,3379.TW,彬台,12.5,0.4,52,116
462	,3466.TW,致振,32.25,-0.31,260,116
463	,3591.TW,艾笛森,25.55,2,7297,116
464	,3596.TW,智易,111,2.78,4219,116
465	,3605.TW,宏致,30,-0.33,176,116
466	,3611.TW,鼎翰,242,0.83,70,116
467	,4111.TW,濟生,29.8,-1.49,2004,116
468	,4175.TW,杏一,142,9.65,2912,116
469	,4426.TW,利勤,24.5,-0.2,113,116
470	,5015.TW,華祺,54.1,-0.37,153,116
471	,6168.TW,宏齊,25.05,-1.18,471,116
472	,6174.TW,安碁,29.05,-1.02,152,116
473	,6194.TW,育富,25.3,-3.07,338,116
474	,6264.TW,富裔,7.48,-0.13,112,116
475	,6288.TW,聯嘉,31.9,-0.16,2177,116
476	,6414.TW,樺漢,256.5,0,522,116
477	,6609.TW,瀧澤科,37.95,0.26,83,116
478	,6804.TW,明係,68.4,2.86,398,116
479	,8069.TW,元太,192.5,-2.78,24281,116
480	,8086.TW,宏捷科,81,1.12,1151,116
481	,8097.TW,常珵,48.85,1.88,883,116
482	,8462.TW,柏文,155,-0.32,92,116
483	,1446.TW,宏和,30.2,-0.49,137,115
484	,1451.TW,年興,21.1,-8.66,4602,115
485	,1526.TW,日馳,40,0,108,115
486	,1532.TW,勤美,34.1,-0.29,505,115
487	,1541.TW,錩泰,33.6,-1.47,31,115
488	,1570.TW,力肯,18.35,-1.08,242,115
489	,1612.TW,宏泰,22.45,6.9,6518,115
490	,1752.TW,南光,77.5,-0.51,2554,115
491	,1783.TW,和康生,70.5,-1.4,5385,115
492	,1786.TW,科妍,72.6,-1.76,433,115
493	,2002.TW,中鋼,29.3,0.69,15205,115
494	,2107.TW,厚生,21.85,-0.46,229,115
495	,2230.TW,泰茂,82.4,1.1,528,115
496	,2239.TW,英利-KY,72.8,0.41,89,115
497	,2351.TW,順德,120.5,-0.82,951,115
498	,2368.TW,金像電,97.2,-0.92,6429,115
499	,2409.TW,友達,17.25,-0.29,29263,115
500	,2436.TW,偉詮電,47.65,-1.95,687,115
501	,2464.TW,盟立,38.05,-0.26,131,115
502	,2616.TW,山隆,32.7,-0.91,590,115
503	,2748.TW,雲品,81.8,-0.61,1013,115
504	,2887.TW,台新金,17.95,2.28,44353,115
505	,3038.TW,全台,31.05,2.99,12752,115
506	,3055.TW,蔚華科,27.8,-0.89,32,115
507	,3081.TW,聯亞,102,-1.45,1467,115
508	,3346.TW,麗清,38.3,0.26,264,115
509	,3444.TW,利機,62.9,0.32,137,115
510	,3511.TW,矽瑪,33.25,-1.04,395,115
511	,3533.TW,嘉澤,927,-0.86,743,115
512	,3607.TW,谷崧,13.9,-1.07,90,115
513	,3609.TW,三一東林,44.6,8.25,46,115
514	,3624.TW,光頡,69.7,-1.97,2465,115
515	,4155.TW,訊映,34.65,2.21,1014,115
516	,4173.TW,久裕,23.2,-1.69,8813,115
517	,4563.TW,百德,39.6,0,105,115
518	,4576.TW,大銀微系統,75.4,0.4,22,115
519	,5443.TW,均豪,28.3,-0.18,99,115
520	,5483.TW,中美晶,154.5,4.39,5911,115
521	,5489.TW,彩富,41.7,-1.88,287,115
522	,6136.TW,富爾特,19.4,0,109,115
523	,6141.TW,柏承,18.2,0,32,115
524	,6175.TW,立敦,38,-0.78,332,115
525	,6183.TW,關貿,63.1,0.16,29,115
526	,6208.TW,日揚,54.2,-0.55,227,115
527	,6227.TW,茂綸,49.5,0.1,133,115
