符合條件商品
資料日期：2021年 12月 17日
策略,	00每日資料
序號,	代碼,	商品,	成交,	漲幅%,	總量,	大戶持股比例,	法人持股比例,	融資使用率,	內部人持股比例
執行時間：2021-12-19 14:40 符合檔數(1449)
267	,2243.TW,宏旭-KY,18.5,-3.65,433,63.45,43.33,3.5,39.71
268	,2247.TW,汎德永業,209,-0.24,52,74.11,0.67,0.36,37.65
269	,2250.TW,IKKA-KY,115.5,-4.94,1292,60.04,5.72,4.61,15.5
270	,2301.TW,光寶科,61.9,0.32,5761,78.12,56.39,0.37,6.21
271	,2302.TW,麗正,16.7,-0.3,165,65.27,4.52,6.65,26.63
272	,2303.TW,聯電,62.3,-1.11,87888,67.22,41.63,8.16,6.84
273	,2305.TW,全友,9.24,3.59,4678,57.67,6.38,6.13,21.67
274	,2308.TW,台達電,269,1.13,6887,81.02,68.97,0.5,7.33
275	,2312.TW,金寶,14.95,-1.97,41284,52.76,8.96,13.74,9.79
276	,2313.TW,華通,42.65,-1.04,9579,59.05,15.72,11.13,9.25
277	,2316.TW,楠梓電,30,-0.99,762,46.52,26.64,6.14,19.2
278	,2317.TW,鴻海,103.5,0,39331,70.83,47.99,1.53,9.75
279	,2323.TW,中環,9.01,-0.55,2639,35.03,14.07,12.47,11.67
280	,2324.TW,仁寶,24,0,21589,66.81,56.07,0.74,6.11
281	,2327.TW,國巨,447,-0.89,1985,47.6,52.27,10.67,8.31
282	,2328.TW,廣宇,39,-1.27,2287,34.56,9.39,16.34,3.96
283	,2329.TW,華泰,25.3,-1.94,4170,45.16,11.53,19.23,26.56
284	,2330.TW,台積電,607,0.33,30319,88.49,76.53,0.37,6.73
285	,2331.TW,精英,22,-0.23,2456,58.07,7.41,25.01,30.63
286	,2332.TW,友訊,18.35,-2.91,2732,41.76,8.67,10.6,5.39
287	,2337.TW,旺宏,40.35,-0.86,9043,36.12,23.45,11.8,3.28
288	,2338.TW,光罩,96.5,-2.82,6269,41.79,11.43,38.15,10.73
289	,2340.TW,光磊,59.9,-1.48,27376,38.75,14.86,31.62,21.01
290	,2342.TW,茂矽,46.4,-2.32,3179,40.38,4.66,49.1,31.43
291	,2344.TW,華邦電,30.55,-0.81,15125,61.34,23.43,7.44,30.26
292	,2345.TW,智邦,257.5,-6.53,9318,68.65,72.56,0.73,2.02
293	,2347.TW,聯強,66.4,1.07,32015,77.73,41.29,1.67,19.75
294	,2348.TW,海悅,110,0,309,72.18,2.71,7.18,54.11
295	,2351.TW,順德,156.5,-2.49,2133,68.69,25.83,7.64,13.51
296	,2352.TW,佳世達,29.6,-1,6110,54.9,21.74,2.98,17.77
297	,2353.TW,宏碁,30,1.18,22351,46.95,37.99,4.98,4.21
298	,2354.TW,鴻準,63.9,-0.16,3968,55.65,23.28,4.84,0.84
299	,2355.TW,敬鵬,35.9,-1.24,6769,41.81,15.36,8.61,11.89
300	,2356.TW,英業達,25.3,-0.78,11077,78.02,36.45,0.47,12.55
301	,2357.TW,華碩,366.5,-0.14,3270,59.1,58.9,1.54,5.55
302	,2358.TW,廷鑫,21.3,1.43,3142,28.97,1.52,47.73,10.52
303	,2359.TW,所羅門,18,0.56,333,43.59,2.09,10.84,25.89
304	,2360.TW,致茂,187,1.63,1995,75.82,69.98,0.51,5.44
305	,2362.TW,藍天,31.7,0.96,236,80.83,10.59,4.25,9.37
306	,2363.TW,矽統,25.2,-1.56,4533,33.14,7.37,13.03,24.6
307	,2365.TW,昆盈,11.2,-0.88,729,30.49,6.75,8.32,8.33
308	,2367.TW,燿華,18.55,-1.07,1773,24.62,6.58,16.2,8.08
309	,2368.TW,金像電,71.8,-1.51,8608,69.38,18.66,16.46,26.69
