符合條件商品
資料日期：2021年 12月 24日
策略,	00主力買進股
序號,	代碼,	商品,	成交,	漲幅%,	總量,	主力買進比
執行時間：2021-12-27 09:22 符合檔數(534)
438	,6591.TW,動力-KY,60.1,0,926,0.63
439	,3413.TW,京鼎,243,0,1116,0.63
440	,6224.TW,聚鼎,126,-2.33,611,0.63
441	,2440.TW,太空梭,20.15,4.4,7253,0.63
442	,3083.TW,網龍,55,-1.08,1353,0.63
443	,6108.TW,競國,22.25,-1.55,2200,0.63
444	,8074.TW,鉅橡,21.1,-2.99,1900,0.63
445	,8171.TW,天宇,53.5,-0.56,607,0.63
446	,2425.TW,承啟,29.3,-0.51,965,0.63
447	,2614.TW,東森,32.85,0.15,9744,0.62
448	,3036.TW,文曄,64.8,-0.15,1582,0.62
449	,2601.TW,益航,12.95,-0.77,3987,0.62
450	,3028.TW,增你強,33.3,-1.19,1011,0.62
451	,5452.TW,佶優,22.8,-3.8,3449,0.62
452	,3047.TW,訊舟,13.05,-1.51,4118,0.61
453	,6125.TW,廣運,26.45,0,1394,0.61
454	,3128.TW,昇銳,22.9,-2.14,1769,0.61
455	,6185.TW,幃翔,15.25,-2.87,1757,0.61
456	,1785.TW,光洋科,49.4,-0.9,2850,0.61
457	,6492.TW,生華科,105,-6.67,1586,0.61
458	,2605.TW,新興,29.55,-1.5,5791,0.61
459	,2537.TW,聯上發,10.2,-0.49,905,0.61
460	,6223.TW,旺矽,115,-0.86,748,0.61
461	,3576.TW,聯合再生,21.7,-0.23,3993,0.61
462	,3545.TW,敦泰,167.5,-1.76,5223,0.6
463	,3016.TW,嘉晶,132.5,-1.12,3560,0.6
464	,8478.TW,東哥遊艇,155.5,-6.61,2540,0.6
465	,8033.TW,雷虎,17.05,-1.45,643,0.6
466	,6235.TW,華孚,33,-4.35,17821,0.6
467	,5425.TW,台半,78.9,-3.66,19211,0.59
468	,6411.TW,晶焱,239,-1.44,2969,0.59
469	,5383.TW,金利,46.7,-5.37,1512,0.59
470	,6182.TW,合晶,82.5,-0.84,17025,0.58
471	,3260.TW,威剛,90.5,-0.77,3238,0.58
472	,5880.TW,合庫金,25.05,0.2,4933,0.58
473	,2492.TW,華新科,166,-1.78,2720,0.58
474	,3518.TW,柏騰,24.35,-3.37,1405,0.58
475	,3105.TW,穩懋,370,-0.67,2417,0.58
476	,4976.TW,佳凌,68.8,-1.29,1092,0.58
477	,3034.TW,聯詠,530,-1.49,3987,0.58
478	,3511.TW,矽瑪,40.7,-2.16,563,0.58
479	,3466.TW,致振,18.8,0.27,719,0.57
480	,2809.TW,京城銀,40.35,0,2840,0.57
