符合條件商品
資料日期：2022年  8月 11日
策略,	01融外自投每日總結
序號,	代碼,	商品,	成交,	漲幅%,	總量,	融資使用率,	外資持股比例,	自營商持股比例,	投信持股比例
執行時間：2022-08-11 22:33 符合檔數(1487)
285	,4961.TW,天鈺,107,1.9,2636,16.46,7.52,1.25,0.01
286	,5243.TW,乙盛-KY,68.2,0.15,3696,16.35,56.17,0.33,2.25
287	,4906.TW,正文,29.1,-1.36,2865,16.33,11.1,0.28,0
288	,6158.TW,禾昌,28.3,0.53,17,16.29,1.72,0.54,0
289	,6163.TW,華電網,15.45,0,393,16.26,1.77,0.02,0
290	,2030.TW,彰源,24.3,2.53,8725,16.22,2.88,0.56,0.01
291	,2331.TW,精英,20.75,1.72,1182,16.22,7.59,1.36,0.09
292	,5251.TW,天鉞電,19,-1.55,1232,16.19,22.24,0.08,0
293	,1589.TW,永冠-KY,54.9,0,159,16.17,4.48,0.65,0
294	,6187.TW,萬潤,73.3,1.24,375,16.13,5.04,2.98,7.94
295	,6552.TW,易華電,39.2,1.29,84,16.13,1.08,0.28,0
296	,2939.TW,凱羿-KY,32.5,1.25,115,15.98,38.92,0.42,0
297	,2338.TW,光罩,78.2,4.27,5165,15.95,6.91,0.17,7.82
298	,4121.TW,優盛,20.55,0.74,738,15.91,3.55,1.47,0
299	,4406.TW,新昕纖,11.55,2.67,337,15.8,0.68,0.08,0
300	,4702.TW,中美實,13.45,-2.18,1061,15.69,48.69,0.06,0
301	,2486.TW,一詮,25.25,0.4,743,15.68,5.73,0.09,0
302	,3260.TW,威剛,58.5,2.27,1262,15.68,7.81,0.78,0.02
303	,6266.TW,泰詠,26.65,1.14,6404,15.64,2.19,0.65,0
304	,5706.TW,鳳凰,59,0.51,736,15.63,2.07,0.05,0
305	,6275.TW,元山,30.15,0.67,268,15.63,1.06,0.42,0
306	,2426.TW,鼎元,19.25,0.26,636,15.62,8.04,0.28,0
307	,3086.TW,華義,78.8,0.77,7,15.62,28.88,0,0
308	,6426.TW,統新,71.8,1.56,959,15.57,5.94,0.15,0.52
309	,3019.TW,亞光,65.3,0.62,4630,15.52,8.62,1.06,0.22
310	,9962.TW,有益,15.55,1.97,500,15.5,1.6,2.28,0
311	,6514.TW,芮特-KY,66.3,1.53,144,15.47,56.25,0,0
312	,2468.TW,華經,13.55,-3.56,1105,15.41,0.29,0.06,0
313	,8040.TW,九暘,45.2,-0.33,673,15.38,2.08,1.17,0
314	,2314.TW,台揚,51.6,0.39,13145,15.34,3.07,0.03,0.06
315	,2753.TW,八方雲集,150,2.04,435,15.34,4.57,0.08,0.17
316	,6462.TW,神盾,82.1,0,212,15.34,10.56,2.25,0
317	,1732.TW,毛寶,29.35,0.86,370,15.33,4.61,2.13,0
318	,8016.TW,矽創,168.5,3.37,1844,15.32,27.26,0.89,0.72
319	,3323.TW,加百裕,34.1,0.29,170,15.31,2.3,0.4,0
320	,3289.TW,宜特,54.4,-0.73,885,15.3,6.38,0.38,0
321	,3434.TW,哲固,27.95,-0.18,311,15.26,2.39,1.17,0
322	,6221.TW,晉泰,59.4,10,461,15.22,0.39,0,0
323	,1522.TW,堤維西,30.05,-4.6,28417,15.2,4.36,0.22,0.03
324	,1475.TW,業旺,57.9,0.7,128,15.18,0.13,0.03,0
325	,2472.TW,立隆電,55.9,4.88,794,15.11,1.51,0.31,0.08
326	,1611.TW,中電,17.45,0.87,1503,15.01,11.84,0.3,0.15
327	,1817.TW,凱撒衛,34,0.74,42,14.85,2.04,0.35,0
328	,6672.TW,騰輝電子-KY,67.6,8.68,811,14.83,23.47,0.1,0
329	,8182.TW,加高,37.05,2.63,242,14.81,50.97,0.02,0
330	,4939.TW,亞電,16.85,-1.46,351,14.79,2.7,0.13,0
331	,6179.TW,亞通,27.45,-0.9,54,14.76,0.55,0.01,0
332	,4909.TW,新復興,17.7,-0.56,98,14.75,3.79,0.29,0.04
333	,2485.TW,兆赫,17.7,-1.12,1000,14.73,5.8,0.34,0.09
334	,2455.TW,全新,68.4,2.24,1487,14.7,28.35,2.34,0.92
335	,3479.TW,安勤,65,-2.99,2213,14.66,5.56,0.58,1.38
336	,4930.TW,燦星網,25.7,1.38,313,14.62,5.19,0.43,0
337	,9902.TW,台火,10.65,0.95,118,14.61,0.49,0.28,0
338	,6668.TW,中揚光,45,-0.77,795,14.59,21.1,0.67,0
339	,3189.TW,景碩,128,1.99,9854,14.57,16.21,0.97,3.78
340	,3338.TW,泰碩,41,0,234,14.48,4.49,0.34,0.13
341	,6125.TW,廣運,29.85,1.02,5960,14.4,13.21,0.53,0.31
342	,2323.TW,中環,7.66,0.52,6959,14.39,9.84,4.32,0.01
343	,5223.TW,安力-KY,46.55,1.64,34,14.39,41.88,0,0
344	,8289.TW,泰藝,37.55,2.46,1070,14.35,7.4,0.36,0
345	,6508.TW,惠光,44.85,1.47,2173,14.29,2.35,0.19,0
346	,2431.TW,聯昌,10.85,2.36,616,14.27,0.67,0.33,0
