符合條件商品
資料日期：2021年 12月 17日
策略,	01準確度
序號,	代碼,	商品,	成交,	漲幅%,	總量,	融資,	外資,	自營商,	投信,	融券,	借券
執行時間：2021-12-19 14:32 符合檔數(1448)
237	,2065.TW,世豐,48,0,70,0.59,0.59,0.33,0,0.24,0.45
238	,2066.TW,世德,61.7,-1.75,18,0.41,0.54,0.13,0,0,0.25
239	,2069.TW,運錩,35.75,1.42,3928,0.7,0.6,0.47,0.09,0.61,0.48
240	,2070.TW,精湛,34,1.95,54,0.54,0.36,0.17,0,0,0.17
241	,2101.TW,南港,38.7,0,1125,0.54,0.58,0.61,0.17,0.55,0.38
242	,2102.TW,泰豐,27.05,-0.55,458,0.52,0.62,0.68,0,0.65,0.48
243	,2103.TW,台橡,38,3.68,25330,0.72,0.62,0.54,0.28,0.57,0.48
244	,2104.TW,國際中橡,26.85,-0.19,3883,0.64,0.52,0.72,0.17,0.61,0.48
245	,2105.TW,正新,36.15,1.69,6443,0.46,0.58,0.62,0.52,0.41,0.54
246	,2106.TW,建大,30.45,1.16,611,0.48,0.6,0.56,0.35,0.41,0.58
247	,2107.TW,厚生,22.25,-0.89,486,0.42,0.54,0.6,0.08,0.19,0.54
248	,2108.TW,南帝,83.9,0.6,6252,0.54,0.74,0.48,0.63,0.6,0.52
249	,2109.TW,華豐,16.7,0.3,142,0.41,0.76,0.45,0,0.2,0.5
250	,2114.TW,鑫永銓,122,0.83,92,0.59,0.6,0.52,0,0.26,0.47
251	,2115.TW,六暉-KY,40.15,-0.37,39,0.53,0.57,0.23,0,0,0.37
252	,2201.TW,裕隆,41.85,1.45,3987,0.68,0.66,0.58,0.41,0.5,0.42
253	,2204.TW,中華,63.3,-0.16,646,0.5,0.64,0.6,0.54,0.42,0.46
254	,2206.TW,三陽工業,26.5,0,607,0.44,0.72,0.65,0,0.39,0.56
255	,2207.TW,和泰車,612,0.49,219,0.28,0.88,0.44,0.42,0.17,0.44
256	,2208.TW,台船,21.5,0,1611,0.64,0.56,0.58,0,0.59,0.62
