符合條件商品
資料日期：2021年 12月 10日
策略,	00每日資料
序號,	代碼,	商品,	成交,	漲幅%,	總量,	大戶持股比例,	法人持股比例,	融資使用率,	內部人持股比例
執行時間：2021-12-12 22:25 符合檔數(1450)
302	,2358.TW,廷鑫,21.6,0,1738,29.06,1.4,46.51,10.52
303	,2359.TW,所羅門,17.85,0,594,43.89,2.06,10.4,25.72
304	,2360.TW,致茂,182,0.28,146,75.52,69.89,0.53,5.44
305	,2362.TW,藍天,32.1,0,213,80.7,10.62,4.36,10.14
306	,2363.TW,矽統,25.55,-1.92,9258,33.9,7.93,13.19,24.6
307	,2365.TW,昆盈,11.1,0,679,30.85,7.06,8.13,8.23
308	,2367.TW,燿華,19,-1.81,3902,25.16,6.81,16.77,8.08
309	,2368.TW,金像電,71.8,0,8245,70.42,18.19,16.24,26.7
310	,2369.TW,菱生,26.5,-0.75,7645,28.88,13.84,24.97,4.65
311	,2371.TW,大同,30.45,-7.31,153900,68.48,19.09,24.12,2.77
312	,2373.TW,震旦行,90.3,0.11,6,88.23,1.97,0.04,52.71
313	,2374.TW,佳能,23.6,-2.88,9351,34.62,5.53,13.72,10.87
314	,2375.TW,凱美,101,-4.72,5496,14.63,9.29,39.99,7.07
315	,2376.TW,技嘉,152.5,3.04,29643,68.1,44.31,8.4,15.54
316	,2377.TW,微星,166,-1.78,3538,72.42,49.49,2.34,16.37
317	,2379.TW,瑞昱,554,-0.72,961,60.5,60.63,2.16,6.96
318	,2382.TW,廣達,89.3,0.34,7186,86.77,32.3,0.3,13.24
319	,2383.TW,台光電,280,1.27,2262,67.69,43.97,2.48,9.44
320	,2385.TW,群光,81.3,-0.61,1251,68.6,42.89,2.02,11.58
321	,2387.TW,精元,48.05,-1.44,1240,66.33,3.16,18.24,33.5
322	,2388.TW,威盛,86.2,-3.36,16108,72.52,9.68,12.2,9.44
323	,2390.TW,云辰,23,0,7991,34.35,2.14,25.38,29.3
324	,2392.TW,正崴,38.85,-0.13,485,44.21,11.95,4.09,21.6
325	,2393.TW,億光,51.3,-0.77,1639,50.75,38.37,7.32,7.04
326	,2395.TW,研華,380.5,-2.93,821,79.89,43.51,0.03,30.09
327	,2397.TW,友通,59.8,-0.33,14,81.51,23.88,2.91,45.21
