符合條件商品
資料日期：2023年  4月 17日
策略,	10主力買比
序號,	代碼,	商品,	成交,	漲幅%,	總量,	主力買進比
執行時間：2023-04-17 23:39 符合檔數(553)
398	,2476.TW,鉅祥,58,3.39,6462,1.27
399	,5225.TW,東科-KY,37.6,1.08,448,1.27
400	,2453.TW,凌群,79,9.87,13199,1.27
401	,2247.TW,汎德永業,292,2.28,568,1.27
402	,2420.TW,新巨,44.95,0.78,371,1.27
403	,3587.TW,閎康,202,5.21,2157,1.27
404	,2601.TW,益航,9.43,2.95,7107,1.27
405	,1723.TW,中碳,115,0,159,1.27
406	,6005.TW,群益證,13.35,-2.55,17188,1.27
407	,3592.TW,瑞鼎,425.5,1.55,756,1.27
408	,2816.TW,旺旺保,15.25,-0.65,120,1.27
409	,3058.TW,立德,19.15,9.74,13436,1.27
410	,5236.TW,凌陽創新,92.9,3.11,292,1.27
411	,2352.TW,佳世達,33,0.92,4658,1.27
412	,9921.TW,巨大,188,-0.53,1454,1.27
413	,6016.TW,康和證,11.5,0.88,2401,1.27
414	,6166.TW,凌華,62.1,0,100,1.27
415	,2440.TW,太空梭,11.95,0.42,312,1.27
416	,6148.TW,驊宏資,29.5,9.87,8382,1.27
417	,3211.TW,順達,77.9,0.13,267,1.27
418	,2374.TW,佳能,20.55,0,842,1.26
419	,6684.TW,安格,50.9,1.6,128,1.26
420	,6643.TW,M31,644,0.78,1166,1.26
421	,1597.TW,直得,80.5,3.21,387,1.26
422	,2409.TW,友達,19.1,0,28908,1.26
423	,3228.TW,金麗科,185,0.82,613,1.26
424	,6134.TW,萬旭,26.65,8.11,5490,1.26
425	,3257.TW,虹冠電,58.4,0.34,99,1.26
426	,3501.TW,維熹,54,0.75,287,1.26
427	,8183.TW,精星,58.8,0.86,1408,1.26
428	,3206.TW,志豐,33.2,3.59,604,1.26
429	,2752.TW,豆府,249.5,2.67,34,1.26
430	,3684.TW,榮昌,69.2,1.76,123,1.26
431	,4558.TW,寶緯,29.15,0.34,101,1.25
432	,4171.TW,瑞基,61.6,2.16,473,1.25
