符合條件商品
資料日期：2022年 12月 30日
策略,	A06突破6月均量
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(12/30),	區間漲幅%
執行時間：2023-01-04 00:51 符合檔數(658)
270	,3293.TW,鈊象,433.5,0,1958,433.5,0
271	,3294.TW,英濟,17,0.29,39,16.95,0.29
272	,3297.TW,杭特,17.95,0.56,214,17.85,0.56
273	,3308.TW,聯德,14.4,-0.35,41,14.45,-0.35
274	,3317.TW,尼克森,53.7,0.37,325,53.5,0.37
275	,3321.TW,同泰,9.07,-0.33,162,9.1,-0.33
276	,3332.TW,幸康,41.6,-0.24,1,41.7,-0.24
277	,3339.TW,泰谷,12.65,0.4,94,12.6,0.4
278	,3346.TW,麗清,34.75,0.72,324,34.5,0.72
279	,3356.TW,奇偶,39.5,1.94,1354,38.75,1.94
280	,3372.TW,典範,11.1,0.45,133,11.05,0.45
281	,3373.TW,熱映,27.2,-3.55,323,28.2,-3.55
282	,3419.TW,譁裕,18.45,0.27,601,18.4,0.27
283	,3438.TW,類比科,54.1,0,183,54.1,0
284	,3444.TW,利機,62.3,-1.74,1388,63.4,-1.74
285	,3454.TW,晶睿,206.5,4.82,13834,197,4.82
286	,3466.TW,致振,32.8,1.55,1795,32.3,1.55
287	,3479.TW,安勤,85,4.42,13540,81.4,4.42
288	,3483.TW,力致,52.6,0.38,213,52.4,0.38
289	,3490.TW,單井,24.2,-0.62,206,24.35,-0.62
290	,3498.TW,陽程,37.7,1.34,146,37.2,1.34
291	,3499.TW,環天科,18.45,-0.54,235,18.55,-0.54
292	,3501.TW,維熹,49.3,-0.4,62,49.5,-0.4
293	,3515.TW,華擎,149,4.93,10867,142,4.93
294	,3516.TW,亞帝歐,16.4,0,20,16.4,0
295	,3536.TW,誠創,4,0.25,24,3.99,0.25
296	,3540.TW,曜越,27.9,0.9,204,27.65,0.9
297	,3546.TW,宇峻,76.7,-0.52,244,77.1,-0.52
298	,3567.TW,逸昌,23.8,-1.45,55,24.15,-1.45
299	,3576.TW,聯合再生,20.6,-0.24,4312,20.65,-0.24
300	,3577.TW,泓格,88,4.14,558,84.5,4.14
301	,3580.TW,友威科,59.6,1.02,261,59,1.02
302	,3587.TW,閎康,155.5,2.64,1660,151.5,2.64
303	,3605.TW,宏致,31.7,-0.63,99,31.9,-0.63
304	,3609.TW,三一東林,51.1,-1.35,48,51.8,-1.35
305	,3617.TW,碩天,95,1.06,227,94,1.06
306	,3625.TW,西勝,12.15,-0.41,112,12.2,-0.41
307	,3628.TW,盈正,42.75,0.35,57,42.6,0.35
308	,3631.TW,晟楠,40.25,-0.86,40,40.6,-0.86
309	,3632.TW,研勤,9.91,-0.9,6,10,-0.9
310	,3666.TW,光耀,19.15,-1.29,105,19.4,-1.29
311	,3669.TW,圓展,46.15,-0.32,129,46.3,-0.32
312	,3679.TW,新至陞,92.8,1.64,37,91.3,1.64
313	,3682.TW,亞太電,6,-1.64,1361,6.1,-1.64
314	,3686.TW,達能,15.45,1.98,231,15.15,1.98
315	,3687.TW,歐買尬,94.5,0,1456,94.5,0
316	,3691.TW,碩禾,100,0.5,145,99.5,0.5
317	,3693.TW,營邦,112,-1.75,931,114,-1.75
318	,3702.TW,大聯大,47.85,-0.52,2190,48.1,-0.52
319	,3704.TW,合勤控,34.7,-0.57,7185,34.9,-0.57
320	,3705.TW,永信,45.1,-1.96,3348,46,-1.96
321	,3706.TW,神達,29.6,0.34,891,29.5,0.34
322	,3711.TW,日月光投控,94.6,0.75,7265,93.9,0.75
323	,3712.TW,永崴投控,28.6,2.88,1130,27.8,2.88
324	,3713.TW,新晶投控,29.45,1.73,197,28.95,1.73
325	,4102.TW,永日,33.9,-5.96,3686,36.05,-5.96
326	,4104.TW,佳醫,68,0.59,293,67.6,0.59
327	,4105.TW,東洋,83.5,0.12,795,83.4,0.12
328	,4106.TW,雃博,28.6,-2.72,1575,29.4,-2.72
329	,4107.TW,邦特,111.5,0,140,111.5,0
330	,4108.TW,懷特,19.1,0,95,19.1,0
331	,4109.TW,加捷生醫,14.65,-0.34,90,14.7,-0.34
332	,4111.TW,濟生,26.65,-1.66,518,27.1,-1.66
333	,4113.TW,聯上,11.75,0,214,11.75,0
334	,4114.TW,健喬,46,-5.54,30936,48.7,-5.54
335	,4119.TW,旭富,96.5,-1.03,165,97.5,-1.03
336	,4121.TW,優盛,24.6,0.61,4581,24.45,0.61
337	,4123.TW,晟德,46.55,-1.59,957,47.3,-1.59
338	,4126.TW,太醫,74.5,-1.32,202,75.5,-1.32
339	,4127.TW,天良,15.1,-2.27,266,15.45,-2.27
