符合條件商品
資料日期：2023年  1月  3日
策略,	07基本資料D
序號,	代碼,	商品,	成交,	漲幅%,	總量,	6月均量,	當月總量,	最大漲幅,	月份,	大戶增減
執行時間：2023-01-03 23:46 符合檔數(1652)
247	,2031.TW,新光鋼,43.4,1.17,1381,43833,77745,103.03,202104,1
248	,2032.TW,新鋼,20.35,0.25,823,21229.5,51802,56.94,202104,0
249	,2033.TW,佳大,15.75,0,436,8867.33,28123,67.25,202106,0
250	,2034.TW,允強,29.3,1.21,845,53021.17,43535,33.54,202106,1
251	,2035.TW,唐榮,31.85,0.31,15,395.67,473,29.89,202106,1
252	,2038.TW,海光,22.05,0.23,995,35598.83,81258,91.2,202104,0
253	,2049.TW,上銀,181,-0.82,675,39865.5,23128,43.64,202004,1
254	,2059.TW,川湖,382.5,-0.39,182,7888.17,5793,12.85,202205,1
255	,2061.TW,風青,24,-2.64,128,4653.67,2503,48.38,201911,0
256	,2062.TW,橋椿,22.6,0,124,6742,5300,20.96,202008,0
257	,2063.TW,世鎧,44.1,1.38,360,3352.67,5976,14.35,202208,1
258	,2064.TW,晉椿,18,0,5,1834.17,1059,45.09,202106,1
259	,2065.TW,世豐,51.6,-0.39,39,2047.33,1722,18.48,202104,0
260	,2066.TW,世德,73,-0.82,72,9083.5,4932,38.3,202208,0
261	,2067.TW,嘉鋼,10.65,-2.74,19,375.5,537,22.89,202103,1
262	,2069.TW,運錩,21.3,-0.7,559,16466,22425,54.36,202106,0
263	,2070.TW,精湛,38,0.13,95,1466.67,1938,38.81,202108,1
264	,2101.TW,南港,33.1,-1.05,451,14349.33,9955,23.15,201910,0
265	,2102.TW,泰豐,19.95,-0.25,389,16449,10046,34.29,202004,1
266	,2103.TW,台橡,27.25,0.74,489,24683.17,22146,37.5,202102,1
267	,2104.TW,國際中橡,19.4,-0.26,637,32441.67,38176,18.37,202011,0
268	,2105.TW,正新,34.1,0.59,2189,99859.33,49517,17.73,202011,1
269	,2106.TW,建大,30.3,0,368,32068.33,11337,24.58,202103,0
270	,2107.TW,厚生,21.65,-0.46,99,4460.33,3344,24.38,202011,0
271	,2108.TW,南帝,37.15,0.27,305,21409,26092,71.07,202103,0
272	,2109.TW,華豐,14.45,-0.34,104,1837.17,1904,44.86,202103,1
273	,2114.TW,鑫永銓,97,-0.21,3,759,312,20.92,202106,0
274	,2115.TW,六暉-KY,29.65,0,9,844.67,473,10.99,202011,0
275	,2201.TW,裕隆,63.2,1.94,17978,355004.5,634165,55.12,202010,1
276	,2204.TW,中華,50.9,-1.17,810,45289.83,56777,67.95,201910,1
277	,2206.TW,三陽工業,33.95,0.3,885,90506.33,86160,64.3,202011,0
278	,2207.TW,和泰車,592,0.68,165,4709.83,4546,31.16,202006,0
279	,2208.TW,台船,19.2,-1.54,1399,52093.83,93584,35.37,202211,0
280	,2221.TW,大甲,38.25,0.66,25,4167.17,3641,52.73,202108,1
281	,2227.TW,裕日車,189,0,6,956.33,906,17.32,202211,0
282	,2228.TW,劍麟,74.8,3.03,143,7760.67,3845,26.54,202004,1
283	,2230.TW,泰茂,32.1,1.26,621,28902,19046,86.49,202208,0
284	,2231.TW,為升,139.5,1.09,326,16667.83,22385,39,202008,0
