符合條件商品
資料日期：2023年  1月  3日
策略,	01融外自投每日總結
序號,	代碼,	商品,	成交,	漲幅%,	總量,	融資使用率,	外資持股比例,	自營商持股比例,	投信持股比例,	借融比
執行時間：2023-01-03 23:27 符合檔數(1490)
202	,5706.TW,鳳凰,61.9,0.81,827,19.4,1.26,0.08,0,2.91
203	,2013.TW,中鋼構,59,0,102,19.36,7.82,0.69,0,1.07
204	,6233.TW,旺玖,22.4,9.8,1377,19.33,2.6,0.78,0,2.22
205	,4912.TW,聯德控股-KY,80,1.27,32,19.31,29.93,0.08,0,0.48
206	,2939.TW,凱羿-KY,32.2,-2.28,63,19.3,38.6,0.52,0,0.56
207	,4720.TW,德淵,13.75,0,83,19.3,3.67,0.06,0,1.74
208	,9958.TW,世紀鋼,90.9,2.6,3192,19.19,7.63,0.43,1.98,6.73
209	,2338.TW,光罩,87.5,3.31,6908,19.17,10.95,0.6,5.82,8.7
210	,6190.TW,萬泰科,29.25,2.45,448,19.17,1.61,0.09,0,3.17
211	,3035.TW,智原,147,3.16,12210,19.13,27.57,2.09,9.94,6.41
212	,4171.TW,瑞基,70.9,7.42,18621,19.13,18.41,0.76,0,3.95
213	,6441.TW,廣錠,55.8,8.56,1571,19.12,1.66,0.54,0,1.78
214	,2342.TW,茂矽,37.8,1.89,529,19.11,5.38,0.16,0,3.46
215	,6220.TW,岳豐,26.4,0.76,622,19.09,2.59,0.06,0,2.07
216	,1752.TW,南光,61,-4.54,17694,19.02,1.6,0.34,3.61,3.03
217	,4721.TW,美琪瑪,98.6,0.82,282,18.96,1.26,0.77,0.05,3.74
218	,3661.TW,世芯-KY,855,8.5,6365,18.95,55.16,2.03,16.05,11.82
219	,6138.TW,茂達,117,1.74,478,18.93,13.95,1.12,0.63,6.66
220	,4534.TW,慶騰,8.98,0.34,92,18.88,0.24,0.03,0,0.37
221	,3434.TW,哲固,24.9,3.53,214,18.84,2.18,1.36,0,1.51
222	,8476.TW,台境,61,4.1,839,18.79,0.64,0,0,0.12
223	,3665.TW,貿聯-KY,239,1.06,512,18.7,45.52,1.62,6.71,8.67
224	,4130.TW,健亞,30.1,-7.38,6660,18.67,6.11,0.33,0,2.01
225	,3219.TW,倚強科,46.2,0.33,25,18.59,2.14,0.05,0,0.07
226	,6283.TW,淳安,31.85,-0.16,63,18.59,18.15,0.16,0.07,1.28
227	,6533.TW,晶心科,522,4.92,3509,18.55,32.24,2,3.14,8.76
228	,5202.TW,力新,15.45,-9.91,408,18.47,0.38,0,0,0.03
229	,2486.TW,一詮,22.1,1.84,1567,18.43,1.96,0.15,0,4.05
230	,3092.TW,鴻碩,33.7,0.9,147,18.43,1.33,0.05,0,2.04
231	,3527.TW,聚積,102.5,2.5,60,18.43,4.76,0.18,0.25,3.24
232	,5014.TW,建錩,18.3,-1.35,1505,18.38,2.09,0.05,0,2.8
233	,4106.TW,雃博,28.6,-2.72,1580,18.37,1.96,0.73,0,2.08
234	,4961.TW,天鈺,123,6.49,10264,18.32,8.7,1.75,0.85,6
235	,3406.TW,玉晶光,349,4.02,1877,18.29,22.48,6,1.97,9.93
236	,3444.TW,利機,62.3,-1.74,1389,18.25,10.8,0.49,0,0.95
237	,1701.TW,中化,31.45,-5.41,23413,18.24,10.75,0.1,0.08,2.61
238	,3591.TW,艾笛森,15.55,-0.64,274,18.22,2.44,0.22,0,1.02
239	,4133.TW,亞諾法,39.85,-3.28,2745,18.16,14.05,4.19,0,2.98
240	,3689.TW,湧德,31.95,0,65,18.14,3.02,0.1,0,1.29
241	,2359.TW,所羅門,27.2,4.21,4780,18.04,4.3,0.3,0,3.3
242	,1762.TW,中化生,64.1,-2.29,1262,17.99,5.95,0.36,0,1.51
243	,1734.TW,杏輝,32.6,-1.66,2849,17.8,6.04,0.3,0.01,1.5
244	,5225.TW,東科-KY,35.75,-0.42,508,17.77,51.76,0.45,2.61,1.54
245	,3499.TW,環天科,18.45,-0.54,235,17.74,1.18,0.18,0,1.4
246	,9902.TW,台火,12.4,-1.2,92,17.74,0.61,0.21,0,0.72
247	,3419.TW,譁裕,18.45,0.27,603,17.72,4.09,0.37,0,1.96
248	,4155.TW,訊映,27.35,-0.73,983,17.66,2.04,0.59,0,2.83
249	,4129.TW,聯合,47.95,0.31,627,17.58,10.32,0.09,4.05,1.31
250	,3379.TW,彬台,11.6,-0.85,7,17.51,0.31,0.16,0,0.29
251	,4714.TW,永捷,10.45,-0.48,89,17.47,0.46,0.41,0,0.74
252	,3518.TW,柏騰,19.45,-0.26,103,17.36,5.48,0.34,0,0.69
253	,4743.TW,合一,244.5,-0.41,5777,17.34,7.57,0.78,1.15,4.52
254	,6509.TW,聚和,41.3,0.98,741,17.26,4.03,0.5,0,2.26
255	,6113.TW,亞矽,16.8,1.2,131,17.24,0.56,0.33,0,1.3
256	,3588.TW,通嘉,54.6,2.82,281,17.19,1.37,0.05,0,3.61
257	,5353.TW,台林,28.2,2.92,430,17.19,1.45,0,0,1.7
258	,6122.TW,擎邦,17.85,4.39,1299,17.11,3.06,0,0,1.1
259	,8016.TW,矽創,185.5,4.51,2294,17.1,23.88,0.95,1.23,8.32
260	,6405.TW,悅城,21.6,0.23,89,17.08,0.3,0.02,0,0.21
261	,2390.TW,云辰,12.05,-0.41,756,17.07,1.78,0.15,0,0.83
262	,5432.TW,新門,27.5,0.73,1,17.06,0.2,0,0,0.11
263	,1442.TW,名軒,35.75,2.73,565,17.01,3.93,0.03,0.17,0.93
264	,6187.TW,萬潤,62.9,3.45,405,16.98,2,3.08,0,3.24
265	,1516.TW,川飛,19.8,-0.5,32,16.97,0.8,0.01,0.01,0.48
266	,8928.TW,鉅明,39.1,1.56,49,16.95,1.68,0.01,0,0.56
267	,8255.TW,朋程,165,0.92,605,16.82,5.02,0.74,6.19,3.63
268	,1732.TW,毛寶,32,-2.14,848,16.74,2.88,2.19,0,4.11
269	,6788.TW,華景電,92.9,1.09,180,16.73,0.94,0.25,0.61,1.69
270	,2461.TW,光群雷,18.5,0.27,48,16.71,4.93,0.03,0,1.46
271	,5284.TW,jpp-KY,69.5,2.96,1085,16.67,62.68,0.13,0.29,1.32
272	,6127.TW,九豪,16.2,0.31,110,16.67,0.85,0.05,0,1.34
273	,3715.TW,定穎投控,16.3,0.62,312,16.45,13.26,0,0,1.91
274	,6643.TW,M31,480,5.03,2842,16.39,20.07,0.79,5.13,4.96
275	,8034.TW,榮群,15,0.33,86,16.34,2.63,0,0,1.52
276	,3297.TW,杭特,17.95,0.56,215,16.33,0,0.23,0,0.5
277	,8936.TW,國統,21.5,0.94,587,16.28,7.23,0.25,0,1.14
278	,6243.TW,迅杰,27.85,0,69,16.26,1.23,0.72,0,1.56
279	,1338.TW,廣華-KY,42.35,-1.28,142,16.22,9.01,0.12,0,0.78
280	,3432.TW,台端,18.85,2.45,214,16.2,5.04,0.99,0,0.95
281	,3322.TW,建舜電,19,2.15,317,16.19,2.15,0.12,0,1.6
282	,6432.TW,今展科,30.3,-1.14,47,16.12,1.7,0,0,0.9
283	,2340.TW,台亞,34,0.74,506,16.08,12.37,1.06,0,4.61
284	,6265.TW,方土昶,9.39,-0.42,163,15.96,2.5,0.41,0,1.45
285	,2399.TW,映泰,13.7,3.01,8033,15.95,3.43,0.53,0,4.27
286	,5272.TW,笙科,25.75,-1.15,105,15.91,2.73,0.07,0,1.37
287	,8086.TW,宏捷科,69.1,1.47,648,15.77,8.18,1.37,0.1,5.88
288	,3041.TW,揚智,20.6,0.49,261,15.75,11.42,0.61,0.01,2.81
289	,6578.TW,達邦蛋白,15.6,-3.11,704,15.72,0.82,0.13,0,0.67
290	,2906.TW,高林,18.1,-0.55,727,15.71,3.18,3.62,0,4.51
291	,1417.TW,嘉裕,14.55,2.11,7758,15.67,2.4,0.08,0,2.35
292	,2419.TW,仲琦,24.4,1.88,820,15.64,3.11,0.57,0.05,2.22
293	,3138.TW,耀登,134,2.68,177,15.64,1.85,0.22,0.11,4.08
294	,3189.TW,景碩,106,1.44,3960,15.63,10.72,0.01,5.98,8.3
295	,1721.TW,三晃,14.7,-0.68,328,15.56,1.3,1.71,0,1.96
296	,3492.TW,長盛,18.3,0.27,117,15.53,0.41,0.01,0,0.28
297	,2230.TW,泰茂,32.1,1.26,621,15.51,3.7,0.35,0,1.15
298	,5243.TW,乙盛-KY,57.7,0.35,276,15.51,52.63,0.15,0,3.33
299	,6226.TW,光鼎,10.15,-0.49,209,15.5,1.55,0.31,0,1.73
300	,1817.TW,凱撒衛,37.9,0.13,15,15.47,2.04,0.34,0,0.17
301	,5457.TW,宣德,49,1.45,756,15.46,36.88,0.22,1.73,2.52
302	,2066.TW,世德,73,-0.82,72,15.45,12.22,0,0,0.47
303	,6209.TW,今國光,24.55,0.61,268,15.42,2.11,0.22,0,1.07
304	,3003.TW,健和興,70.9,1,190,15.37,4.33,0.22,0.26,3.48
305	,6125.TW,廣運,25.4,0,586,15.37,6.16,0.39,0.2,2.43
306	,3059.TW,華晶科,33.2,0.3,582,15.35,13.71,0.82,0.07,3.78
307	,3663.TW,鑫科,28.45,0,39,15.29,0.62,0.26,0,0.34
308	,8050.TW,廣積,78.9,2.07,2692,15.25,6.61,0.92,6.44,2.52
309	,1727.TW,中華化,24.75,1.02,171,15.2,2.02,0.54,0,2.88
310	,4930.TW,燦星網,27.15,0.37,61,15.2,5.39,0.34,0,0.52
311	,3363.TW,上詮,22.85,0.66,80,15.16,3.84,0,0,1.23
312	,6126.TW,信音,20.05,-0.74,34,15.14,2.4,0.01,0,0.58
313	,2413.TW,環科,26,4.84,1117,15.09,3.01,0.68,0.09,2.24
314	,4976.TW,佳凌,37.8,0.53,82,14.98,1.19,0.11,0,3.28
315	,8429.TW,金麗-KY,10.7,-2.73,653,14.93,32.71,0.06,0,0.61
316	,1783.TW,和康生,45.5,-4.51,2263,14.9,7.12,0.69,0.35,1.46
317	,2388.TW,威盛,69.1,2.67,10481,14.88,8.78,0.64,0.01,4.81
318	,4542.TW,科嶠,25.1,0.4,0,14.87,3.58,0,0,0.04
