符合條件商品
資料日期：2023年  1月  3日
策略,	06基本資料C
序號,	代碼,	商品,	成交,	漲幅%,	總量,	大戶持股比例,	券資比
執行時間：2023-01-03 23:46 符合檔數(1775)
403	,2461.TW,光群雷,18.5,0.27,48,41.5,2.18
404	,2462.TW,良得電,28.15,-1.23,272,69.39,0.15
405	,2464.TW,盟立,38,0.4,96,34.43,0.08
406	,2465.TW,麗臺,41.8,10,10592,0.91,38.2
407	,2466.TW,冠西電,32.75,-1.5,53,96.72,0
408	,2467.TW,志聖,43.3,0.7,39,57.21,3.88
409	,2468.TW,華經,25.75,0.98,670,68.08,40.42
410	,2471.TW,資通,28.05,-0.53,169,27.94,0
411	,2472.TW,立隆電,54.2,1.12,181,51.6,0.31
412	,2474.TW,可成,170.5,0.89,1194,70.77,4.64
413	,2476.TW,鉅祥,45.3,1.23,209,49.39,1.49
414	,2477.TW,美隆電,19.6,0.26,18,72.49,0
415	,2478.TW,大毅,42.85,0.94,19,52.67,0.35
416	,2480.TW,敦陽科,84.6,-1.51,207,29.69,0
417	,2481.TW,強茂,59.1,2.07,926,39.82,6.64
418	,2482.TW,連宇,24.7,3.78,992,49.74,5.9
419	,2483.TW,百容,24.15,0.62,53,57.23,0.25
420	,2484.TW,希華,34.3,1.48,697,21.57,20.25
421	,2485.TW,兆赫,17.1,0.29,622,31.7,0.14
422	,2486.TW,一詮,22.1,1.84,1567,29.43,9.73
423	,2488.TW,漢平,28.9,0.35,43,43.24,9.7
424	,2489.TW,瑞軒,9.93,-0.7,977,31.77,1.15
425	,2491.TW,吉祥全,11.5,1.32,210,66.31,0
426	,2492.TW,華新科,79.2,0.25,552,54.24,4.96
427	,2493.TW,揚博,43.3,0.12,87,43.51,0
428	,2495.TW,普安,18.95,-1.04,1605,66.27,1.48
429	,2496.TW,卓越,47.55,0,7,44.42,0
430	,2497.TW,怡利電,72,2.56,883,56.88,17.97
431	,2498.TW,宏達電,58.1,4.31,25895,40.38,46.3
432	,2501.TW,國建,15.4,0.98,386,79.68,1.12
433	,2504.TW,國產,25.15,-0.4,886,73.21,8.29
434	,2505.TW,國揚,17.8,-0.84,125,73.74,1
435	,2506.TW,太設,9.12,0.55,352,78.32,0
436	,2509.TW,全坤建,14.7,0,30,69.35,1.31
437	,2511.TW,太子,10.5,0,389,82.91,1.07
438	,2514.TW,龍邦,16.75,-0.3,158,91.47,0
