符合條件商品
資料日期：2021年 12月  3日
策略,	10漲停同買同賣資料
序號,	代碼,	商品,	成交,	漲幅%,	總量,	漲停次數,	四大同買,	四大同賣,	內外盤
執行時間：2021-12-05 17:22 符合檔數(1584)
231	,2012.TW,春雨,30.1,0.5,261,15,1,1,14
232	,2013.TW,中鋼構,55.3,1.84,3115,10,0,0,8
233	,2014.TW,中鴻,36.5,0.83,25638,15,5,5,11
234	,2015.TW,豐興,78.9,0.25,115,2,3,2,9
235	,2017.TW,官田鋼,19.95,0.25,1011,17,0,0,10
236	,2020.TW,美亞,31.95,0,640,10,1,0,8
237	,2022.TW,聚亨,13.9,1.46,4139,22,0,0,10
238	,2023.TW,燁輝,23.9,-0.42,9414,13,2,2,12
239	,2024.TW,志聯,19.9,-0.25,90,17,0,0,11
240	,2025.TW,千興,5.3,0,158,21,0,0,10
241	,2027.TW,大成鋼,46.2,-0.22,15393,9,15,19,8
242	,2028.TW,威致,41.35,0.73,2480,21,0,0,9
243	,2029.TW,盛餘,32.35,0.15,1250,10,3,1,8
244	,2030.TW,彰源,30.7,0.49,6495,18,1,1,6
245	,2031.TW,新光鋼,57.3,0,1681,8,7,6,11
246	,2032.TW,新鋼,23.35,0.43,422,19,0,0,6
247	,2033.TW,佳大,17.2,-0.29,228,18,0,0,12
248	,2034.TW,允強,31.65,0.16,1467,6,3,4,12
249	,2035.TW,唐榮,36.05,-0.69,43,4,0,0,14
250	,2038.TW,海光,34.55,-0.14,3740,26,0,0,8
251	,2049.TW,上銀,282.5,-0.88,785,0,5,3,7
252	,2059.TW,川湖,490,4.26,336,0,4,1,16
253	,2062.TW,橋椿,27.3,0.74,142,5,1,0,11
254	,2063.TW,世鎧,37.5,0.27,71,0,0,0,9
255	,2064.TW,晉椿,17.95,0,54,5,0,0,11
256	,2065.TW,世豐,48.05,0.73,100,1,0,0,11
257	,2066.TW,世德,60.7,0.5,66,1,0,0,19
258	,2067.TW,嘉鋼,12.75,0,29,8,0,0,6
259	,2069.TW,運錩,35.3,0.57,2789,16,0,0,12
260	,2070.TW,精湛,33.7,-0.44,36,4,0,0,9
261	,2101.TW,南港,39.15,1.69,1138,1,1,1,16
262	,2102.TW,泰豐,27.8,1.46,2169,7,0,0,5
263	,2103.TW,台橡,32.85,0.46,1314,2,5,3,8
264	,2104.TW,國際中橡,25.6,0.79,2668,1,0,0,10
