符合條件商品
資料日期：2023年  1月  3日
策略,	03總結B
序號,	代碼,	商品,	成交,	漲幅%,	總量,	買,	賣,	主力連買,	融資連買,	外資連買,	自營連買,	投信連買,	借券連賣,	融券連賣,	主力連賣,	融資連賣,	外資連賣,	自營連賣,	投信連賣,	借券連買,	融券連買
執行時間：2023-01-03 23:28 符合檔數(1446)
178	,1735.TW,日勝化,15.2,0.33,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
179	,1736.TW,喬山,69.1,-0.58,625,6,3,0,3,0,0,0,3,10,7,0,2,4,0,0,0
180	,1737.TW,臺鹽,32.2,-0.77,61,0,0,0,1,3,0,0,2,0,1,0,0,1,0,0,0
181	,1742.TW,台蠟,14.6,-0.34,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
182	,1752.TW,南光,61,-4.54,17694,2,0,0,0,0,6,0,1,3,1,1,1,0,0,0,0
183	,1760.TW,寶齡富錦,175.5,-1.96,12029,0,0,0,2,0,1,0,1,1,1,0,2,0,1,0,0
184	,1762.TW,中化生,64.1,-2.29,1262,0,0,0,0,0,0,0,0,1,1,2,1,1,0,3,0
185	,1773.TW,勝一,115.5,0.87,124,0,0,2,0,1,1,2,0,0,0,1,0,0,0,1,0
186	,1776.TW,展宇,16.45,-0.3,8,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
187	,1777.TW,生泰,82.6,-1.9,181,0,0,0,0,1,0,0,0,1,1,3,0,0,0,0,0
188	,1783.TW,和康生,45.5,-4.51,2263,0,3,0,0,1,1,0,0,3,7,1,0,0,0,1,0
189	,1784.TW,訊聯,43.7,-0.46,233,0,0,4,3,0,0,0,0,4,0,0,2,0,0,0,0
190	,1785.TW,光洋科,32.25,0.62,398,0,0,1,3,1,1,0,0,1,0,0,0,0,0,1,0
191	,1786.TW,科妍,53.6,-1.11,609,0,0,1,1,0,0,0,0,2,0,0,4,1,0,1,0
192	,1788.TW,杏昌,144,0,12,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0
193	,1789.TW,神隆,25.2,-0.98,1010,0,1,0,0,0,0,1,2,0,2,1,2,5,0,0,0
194	,1795.TW,美時,250.5,1.83,13203,0,0,1,0,1,3,0,0,2,0,1,0,0,2,3,0
195	,1796.TW,金穎生技,66.9,0,37,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0
196	,1802.TW,台玻,21.35,0.47,5303,3,0,1,1,0,0,1,1,7,0,0,3,2,0,0,0
197	,1806.TW,冠軍,8.85,-1.12,197,0,1,0,0,0,0,0,0,0,5,3,3,0,0,0,0
198	,1808.TW,潤隆,69.2,-0.43,226,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,0
199	,1809.TW,中釉,12.45,0.81,540,0,0,0,0,1,0,0,0,0,1,1,0,1,0,4,0
200	,1810.TW,和成,18.6,0.54,10813,0,0,0,0,0,0,0,0,0,2,1,2,1,0,2,2
201	,1815.TW,富喬,11.7,0.43,233,0,0,1,0,2,0,0,0,0,0,2,0,0,0,1,0
202	,1817.TW,凱撒衛,37.9,0.13,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
203	,1903.TW,士紙,49.8,0,19,0,4,0,0,0,0,0,0,0,0,8,1,0,0,1,0
204	,1904.TW,正隆,27.35,0,278,0,0,0,1,2,0,1,0,0,1,0,0,0,0,1,0
205	,1905.TW,華紙,16.05,-0.62,410,0,0,0,1,0,0,1,0,0,4,0,1,0,0,0,0
206	,1906.TW,寶隆,16.85,0,33,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0
207	,1907.TW,永豐餘,24.6,0.61,753,0,0,1,0,1,0,1,0,0,0,2,0,1,0,3,1
208	,1909.TW,榮成,16.25,-0.61,4626,2,0,0,0,6,2,1,0,1,1,3,0,0,0,1,0
209	,2002.TW,中鋼,30.25,1.51,26160,0,0,1,0,0,1,1,3,0,0,2,1,0,0,0,2
210	,2006.TW,東和鋼鐵,51.8,-1.71,945,3,2,0,0,0,1,7,4,1,1,2,6,0,0,0,0
211	,2007.TW,燁興,12.5,3.73,4113,0,1,1,1,1,0,0,0,0,0,0,0,1,0,5,1
212	,2008.TW,高興昌,18.15,1.68,28,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
213	,2009.TW,第一銅,30.15,0.84,1403,0,2,0,0,1,1,0,0,0,6,3,0,0,0,3,2
214	,2010.TW,春源,15.9,-0.31,211,0,4,0,1,0,0,0,0,0,3,0,1,8,0,0,0
215	,2012.TW,春雨,23.7,-1.25,79,0,4,0,0,0,0,0,0,0,1,4,1,8,0,4,0
216	,2013.TW,中鋼構,59,0,102,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0
217	,2014.TW,中鴻,27.1,1.31,10104,6,0,1,0,1,1,1,10,2,0,1,0,0,0,0,0
218	,2015.TW,豐興,63.9,0.31,102,0,3,0,0,0,1,1,0,0,1,1,7,0,0,3,0
219	,2017.TW,官田鋼,13.9,0.36,377,0,1,1,1,3,0,0,0,1,0,0,0,4,0,5,0
220	,2020.TW,美亞,23.2,1.09,209,0,3,0,0,2,1,0,0,0,4,7,0,0,0,0,0
221	,2023.TW,燁輝,16.05,0.31,2794,1,5,0,0,0,0,1,5,0,3,5,2,8,0,0,1
222	,2024.TW,志聯,18.6,0,42,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
223	,2027.TW,大成鋼,42.6,0.47,6145,1,1,2,0,3,1,1,5,0,0,5,0,0,0,0,3
224	,2028.TW,威致,27.9,0.9,980,0,2,1,0,0,0,0,0,0,0,6,3,1,0,3,2
225	,2029.TW,盛餘,24.4,-0.41,260,0,0,0,0,0,0,0,1,0,1,3,1,1,0,0,0
226	,2030.TW,彰源,23.25,0.22,848,0,0,0,0,0,1,0,2,0,1,1,1,0,0,0,2
