符合條件商品
資料日期：2022年  1月  4日
策略,	01準確度
序號,	代碼,	商品,	成交,	漲幅%,	總量,	融資,	外資,	自營商,	投信,	融券,	借券
執行時間：2022-01-05 08:37 符合檔數(1442)
162	,1714.TW,和桐,11.45,1.78,6655,0.5,0.74,0.51,0,0.5,0.48
163	,1717.TW,長興,40.55,0.62,12689,0.66,0.7,0.66,0.51,0.47,0.48
164	,1718.TW,中纖,10.05,0,5283,0.58,0.6,0.7,0,0.52,0.5
165	,1720.TW,生達,43.05,0.12,276,0.58,0.63,0.44,0,0.19,0.38
166	,1721.TW,三晃,27.5,-1.08,5821,0.54,0.54,0.4,0,0.57,0.28
167	,1722.TW,台肥,68.9,-0.72,2242,0.62,0.52,0.72,0.47,0.36,0.36
168	,1723.TW,中碳,118,-0.84,721,0.64,0.66,0.62,0.24,0.35,0.48
169	,1725.TW,元禎,33.6,-1.9,172,0.49,0.54,0.36,0,0.55,0.24
170	,1726.TW,永記,73.7,0.27,23,0.26,0.38,0.43,0,0,0.27
171	,1727.TW,中華化,49.7,-1.78,2812,0.54,0.58,0.33,0,0.71,0.31
172	,1730.TW,花仙子,63.5,0.47,52,0.52,0.57,0.33,0,0,0.41
173	,1731.TW,美吾華,19.55,0.26,241,0.55,0.6,0.35,0,0.09,0.38
174	,1732.TW,毛寶,39.45,9.89,17049,0.72,0.52,0.2,0,0.56,0.46
175	,1733.TW,五鼎,25.7,0.19,401,0.6,0.66,0.3,0,0,0.32
176	,1734.TW,杏輝,29.25,-0.51,1195,0.54,0.56,0.29,0,0.56,0.62
177	,1735.TW,日勝化,18.5,0.27,12,0.41,0.51,0.23,0,0,0.27
178	,1736.TW,喬山,56.7,0,241,0.56,0.62,0.71,0.17,0.68,0.6
179	,1737.TW,臺鹽,33.15,-0.15,198,0.54,0.72,0.4,0,0,0.51
180	,1752.TW,南光,38.1,-0.26,62,0.6,0.51,0,0,0.24,0.55
181	,1760.TW,寶齡富錦,74.8,3.89,1459,0.72,0.6,0.7,0,0.64,0.56
182	,1762.TW,中化生,64.5,0.16,145,0.36,0.64,0.59,0.37,0.57,0.58
183	,1773.TW,勝一,170,-2.86,2779,0.8,0.55,0.68,0.22,0.42,0.5
184	,1776.TW,展宇,21.35,-0.47,116,0.47,0.43,0.31,0,0.25,0.27
185	,1777.TW,生泰,67,0.15,55,0.53,0.53,0.33,0,0,0.28
186	,1783.TW,和康生,51.1,0.39,250,0.62,0.5,0.4,0,0.62,0.46
187	,1784.TW,訊聯,39.65,-0.13,99,0.58,0.58,0.09,0,0.41,0.5
188	,1785.TW,光洋科,51.4,2.39,7910,0.68,0.6,0.54,0.44,0.61,0.5
189	,1786.TW,科妍,49.7,0.91,31,0.5,0.56,0.31,0,0,0.24
190	,1788.TW,杏昌,145.5,-1.36,28,0.29,0.44,0,0,0.17,0.17
191	,1789.TW,神隆,24.4,0,324,0.46,0.6,0.5,0,0.43,0.5
192	,1795.TW,美時,96.3,-0.21,1482,0.59,0.56,0.49,0.31,0.54,0.56
193	,1802.TW,台玻,26.2,-1.5,6861,0.51,0.6,0.7,0.62,0.62,0.52
