符合條件商品
資料日期：2023年  4月 20日
策略,	01主力買進股
序號,	代碼,	商品,	成交,	漲幅%,	總量,	主力買進比
執行時間：2023-04-20 23:57 符合檔數(641)
276	,4977.TW,眾達-KY,121.5,-3.95,6042,0.83
277	,5353.TW,台林,49.9,-5.31,4172,0.82
278	,1303.TW,南亞,77,0,3219,0.82
279	,8403.TW,盛弘,35.1,-1.13,1745,0.82
280	,6743.TW,安普新,62.5,0.16,1653,0.82
281	,6245.TW,立端,103,-4.63,5760,0.82
282	,2368.TW,金像電,100,-1.48,5458,0.82
283	,3169.TW,亞信,138,-0.36,3793,0.82
284	,6533.TW,晶心科,477.5,-4.02,2272,0.82
285	,6719.TW,力智,346,-4.29,4455,0.82
286	,2476.TW,鉅祥,53.8,-5.61,4851,0.82
287	,1305.TW,華夏,25.55,-2.29,2129,0.82
288	,3675.TW,德微,308,-1.75,3706,0.82
289	,2419.TW,仲琦,28.2,-2.08,2412,0.82
290	,3260.TW,威剛,73.1,-1.62,2895,0.82
291	,6147.TW,頎邦,67.5,0,1433,0.81
292	,2342.TW,茂矽,47.3,0.75,6860,0.81
293	,2645.TW,長榮航太,111,-6.33,6768,0.81
294	,6690.TW,安碁資訊,207.5,-5.68,2737,0.81
295	,6438.TW,迅得,112.5,-0.44,850,0.81
296	,8091.TW,翔名,104.5,-5,4162,0.81
297	,8299.TW,群聯,394,0.13,900,0.81
298	,3483.TW,力致,71.5,-1.52,1478,0.81
299	,6243.TW,迅杰,37.6,-0.92,540,0.8
300	,6741.TW,91APP*-KY,124.5,0,3586,0.8
301	,8016.TW,矽創,236.5,-1.66,1097,0.8
302	,6570.TW,維田,64,-3.47,1466,0.8
303	,2009.TW,第一銅,34.7,-4.41,6819,0.8
304	,1471.TW,首利,10,0.5,7800,0.8
305	,1312.TW,國喬,20.25,0.25,2209,0.8
306	,5284.TW,jpp-KY,115.5,-2.94,1443,0.8
307	,1784.TW,訊聯,57.4,1.23,5905,0.8
308	,1503.TW,士電,95.1,-2.76,6574,0.8
309	,6188.TW,廣明,57.2,-3.05,2793,0.8
310	,5371.TW,中光電,76.8,-4.12,6236,0.79
311	,8088.TW,品安,32.9,-2.37,3026,0.79
312	,2328.TW,廣宇,38.5,-1.66,6717,0.79
313	,5351.TW,鈺創,45.55,-1.51,4290,0.79
314	,8183.TW,精星,56.1,-0.36,1322,0.79
315	,4976.TW,佳凌,49.1,-2.39,1395,0.79
316	,1612.TW,宏泰,20.8,-0.95,1169,0.79
317	,6202.TW,盛群,71.7,-0.83,495,0.79
318	,8084.TW,巨虹,114.5,-2.97,2682,0.78
319	,3027.TW,盛達,46.15,-4.45,8218,0.78
320	,5388.TW,中磊,85.5,-2.95,3715,0.78
321	,6863.TW,永道-KY,215.5,-9.07,2140,0.78
