符合條件商品
資料日期：2023年  4月 20日
策略,	00統計2021年資料
序號,	代碼,	商品,	成交,	漲幅%,	總量,	漲停板的次數
執行時間：2023-04-21 00:24 符合檔數(1711)
409	,2468.TW,華經,25.15,-4.55,997,17
410	,2471.TW,資通,57.5,0.35,17105,7
411	,2472.TW,立隆電,65.7,-1.35,914,0
412	,2474.TW,可成,181.5,-0.55,1131,0
413	,2476.TW,鉅祥,53.8,-5.61,4851,2
414	,2477.TW,美隆電,21.45,-0.92,51,2
415	,2478.TW,大毅,49.25,-1.7,267,0
416	,2480.TW,敦陽科,99.6,-1.39,333,0
417	,2481.TW,強茂,69.2,-1.98,3546,0
418	,2482.TW,連宇,66.6,-7.88,4123,21
419	,2483.TW,百容,26.9,-2.18,423,2
420	,2484.TW,希華,38.4,2.67,11645,0
421	,2485.TW,兆赫,20.1,-4.06,2284,0
422	,2486.TW,一詮,28.9,-3.51,3785,4
423	,2488.TW,漢平,30.75,-0.49,110,1
424	,2489.TW,瑞軒,10.45,-0.48,2120,0
425	,2491.TW,吉祥全,12.5,-0.4,165,7
426	,2492.TW,華新科,102,-0.97,3501,1
427	,2493.TW,揚博,53.6,0,139,1
428	,2495.TW,普安,26.5,-3.64,10359,4
429	,2496.TW,卓越,51.5,0.59,47,0
430	,2497.TW,怡利電,74.5,-1.06,1635,10
431	,2498.TW,宏達電,59.6,-3.4,17489,9
432	,2501.TW,國建,17.15,-0.58,502,0
433	,2504.TW,國產,27.4,-1.44,2872,0
434	,2505.TW,國揚,18.4,-0.54,168,0
435	,2506.TW,太設,9.31,-0.53,159,0
436	,2509.TW,全坤建,15.25,-0.33,30,0
437	,2511.TW,太子,11.7,0,355,0
438	,2514.TW,龍邦,17.25,-0.86,127,1
439	,2515.TW,中工,10.4,-1.42,32945,1
440	,2516.TW,新建,5.03,0.4,99,0
441	,2520.TW,冠德,29.6,-2.31,1153,0
442	,2524.TW,京城,31.8,0,33,0
443	,2527.TW,宏璟,22.65,-0.66,110,0
444	,2528.TW,皇普,24.05,-1.23,618,0
445	,2530.TW,華建,18.95,-1.3,514,0
446	,2534.TW,宏盛,22.35,-0.22,3270,0
447	,2535.TW,達欣工,30.75,-1.6,5966,0
448	,2536.TW,宏普,24.2,-0.21,83,0
449	,2537.TW,聯上發,6.94,-0.57,408,0
450	,2538.TW,基泰,13.2,-0.38,707,0
451	,2539.TW,櫻花建,37.15,-0.67,338,0
452	,2540.TW,愛山林,76.3,0.13,606,5
453	,2542.TW,興富發,41.85,-0.36,2087,0
454	,2543.TW,皇昌,9.56,-0.1,110,7
455	,2545.TW,皇翔,45.6,-0.44,254,1
456	,2546.TW,根基,68.5,-0.58,157,0
457	,2547.TW,日勝生,9.16,-0.54,541,0
458	,2548.TW,華固,93.8,0.11,223,0
459	,2596.TW,綠意,22.55,-0.22,80,0
460	,2597.TW,潤弘,119.5,-1.65,163,0
461	,2601.TW,益航,9.32,-1.06,3935,1
462	,2603.TW,長榮,170.5,1.49,19690,2
463	,2605.TW,新興,23.8,-1.45,2870,4
464	,2606.TW,裕民,55.9,-0.36,2223,1
465	,2607.TW,榮運,27.7,-0.36,1402,5
466	,2608.TW,嘉里大榮,38.2,-0.78,194,3
467	,2609.TW,陽明,66.4,0.61,21344,2
468	,2610.TW,華航,19.25,-0.26,19205,1
469	,2611.TW,志信,13.5,-0.74,524,8
470	,2612.TW,中航,39.35,-0.76,207,4
471	,2613.TW,中櫃,22.95,0.22,158,11
472	,2614.TW,東森,19.5,1.3,1965,5
473	,2615.TW,萬海,67.7,-0.44,6771,3
474	,2616.TW,山隆,32.15,0,102,0
475	,2617.TW,台航,32,-0.62,843,1
476	,2618.TW,長榮航,26.25,-1.5,19311,3
477	,2630.TW,亞航,25,-6.02,1601,3
478	,2633.TW,台灣高鐵,30.65,-0.33,2708,0
479	,2634.TW,漢翔,54.4,-3.89,52634,3
480	,2636.TW,台驊投控,78,0.26,506,4
481	,2637.TW,慧洋-KY,62.7,-1.26,3776,1
482	,2640.TW,大車隊,119.5,-2.05,215,0
483	,2641.TW,正德,19.4,-0.51,1943,5
484	,2642.TW,宅配通,46.55,-0.21,117,4
485	,2643.TW,捷迅,72.4,-1.09,74,1
486	,2701.TW,萬企,12.7,-1.17,329,0
487	,2702.TW,華園,23.6,-3.28,642,2
488	,2704.TW,國賓,37.25,-0.8,348,0
489	,2705.TW,六福,17.9,-1.1,1118,1
490	,2706.TW,第一店,14.95,-1.32,663,0
491	,2707.TW,晶華,293,-4.56,3698,2
492	,2712.TW,遠雄來,35,-0.99,101,0
493	,2718.TW,晶悅,46.6,-0.85,10,0
494	,2719.TW,燦星旅,50.6,-3.07,51,18
495	,2722.TW,夏都,52.2,-4.74,1457,5
496	,2723.TW,美食-KY,159.5,-1.85,3810,1
497	,2724.TW,富驛-KY,13.05,-6.12,11,3
498	,2726.TW,雅茗-KY,27.8,-0.89,53,7
499	,2727.TW,王品,313,-9.93,9988,3
500	,2729.TW,瓦城,239.5,-6.63,577,1
501	,2731.TW,雄獅,174,-3.87,4379,7
502	,2732.TW,六角,172.5,-8.97,6260,5
503	,2734.TW,易飛網,33,-2.37,346,8
504	,2736.TW,富野,23.1,-3.35,1132,12
505	,2739.TW,寒舍,68.3,-8.08,2342,10
506	,2740.TW,天蔥,46,-0.65,4,7
507	,2743.TW,山富,60.8,-2.72,710,17
508	,2745.TW,五福,40.25,-2.42,175,16
509	,2748.TW,雲品,94.5,-3.28,8951,5
510	,2752.TW,豆府,255,0.39,12,1
511	,2753.TW,八方雲集,187.5,-1.57,3547,0
512	,2754.TW,亞洲藏壽司,169,-8.65,6359,8
513	,2755.TW,揚秦,148.5,-1.33,238,2
514	,2801.TW,彰銀,17.55,0.29,2347,0
