符合條件商品
資料日期：2021年 10月 29日
策略,	每日資料
序號,	代碼,	商品,	成交,	漲幅%,	總量,	融券使用率,	法人持股比例,	融資使用率,	投信持股比例
執行時間：2021-10-31 18:46 符合檔數(1446)
248	,2108.TW,南帝,81.5,-1.09,2018,1.58,16.96,4.81,4.18
249	,2109.TW,華豐,16.05,-1.83,274,0,14.6,2.08,0
250	,2114.TW,鑫永銓,125,0.4,63,0.03,2.58,2.72,0.01
251	,2115.TW,六暉-KY,40,-0.74,54,0,44.25,0.64,0
252	,2201.TW,裕隆,41.1,-1.91,7669,0.05,8.11,7.86,0.72
253	,2204.TW,中華,69.3,-0.86,614,0.03,30.23,1.25,0.2
254	,2206.TW,三陽工業,27.05,0.56,429,0,9.61,4.47,0
255	,2207.TW,和泰車,612,-1.45,285,0,24.29,0.05,0.42
256	,2208.TW,台船,21.8,1.16,3099,0.76,4.87,7.95,0.03
257	,2211.TW,長榮鋼,48.9,0.62,220,0,0.75,0.06,0
258	,2221.TW,大甲,33.85,1.35,193,0.1,3.55,12.58,0
259	,2228.TW,劍麟,70.2,0,66,0,5.79,4.75,0
260	,2230.TW,泰茂,13.35,-1.48,66,0.01,0.2,14.85,0
261	,2231.TW,為升,171,1.48,647,0.33,6.89,16.85,0.04
262	,2233.TW,宇隆,103.5,-1.43,419,0.04,24.81,14.08,4.33
263	,2235.TW,謚源,39.1,0.13,2,0,0.05,0.26,0
264	,2236.TW,百達-KY,27.65,-0.18,24,0,35.07,0.94,0.88
265	,2239.TW,英利-KY,65,-1.52,233,0.19,76.7,5.16,0.15
266	,2241.TW,艾姆勒,55.9,-3.12,1815,0.02,22.69,10.33,0.03
267	,2243.TW,宏旭-KY,18.65,-5.81,684,1.36,44.54,6.18,0
268	,2247.TW,汎德永業,214.5,-0.92,27,0,0.68,0.36,0
269	,2301.TW,光寶科,61.3,0,5398,0.04,57.18,0.45,3.56
270	,2302.TW,麗正,16.7,1.21,416,0.09,4.59,5.97,0
271	,2303.TW,聯電,58,-3.01,229398,0.21,43.03,8.78,3.96
272	,2305.TW,全友,8.23,0.73,2593,0,5.3,5.27,0
273	,2308.TW,台達電,245,-2.97,9956,0.19,68.83,0.71,1.14
274	,2312.TW,金寶,13,1.17,18660,0.07,9.08,11.03,0.02
275	,2313.TW,華通,40.35,0.5,17665,0.49,15.65,11.04,0.65
276	,2316.TW,楠梓電,28.4,-0.7,142,0.09,26.05,6.02,0
277	,2317.TW,鴻海,107,-1.38,20792,0.02,49.08,1.49,1.1
278	,2323.TW,中環,8.82,-1.23,3876,0.25,13.55,11.38,0.01
279	,2324.TW,仁寶,24.45,-1.61,13161,0.03,58.66,0.58,5.68
280	,2327.TW,國巨,434,-1.03,3114,1.1,51.62,11.35,1.22
281	,2328.TW,廣宇,40.65,-1.45,10358,0.35,10.39,19.96,0
282	,2329.TW,華泰,24.8,-1.98,18116,1.41,9.25,22.63,0
283	,2330.TW,台積電,590,-0.84,27685,0,76.3,0.39,1.01
284	,2331.TW,精英,23.7,0,4424,0.18,6.89,24.59,0
285	,2332.TW,友訊,20.5,-1.44,5928,0.07,9.11,9.52,0
286	,2337.TW,旺宏,39.2,0,30195,0.61,19.14,13.43,2.21
287	,2338.TW,光罩,79.8,-0.25,4148,3.49,11.23,29.8,4.26
288	,2340.TW,光磊,42.9,-0.92,69953,2.35,23.92,25.64,0
289	,2342.TW,茂矽,45.45,-0.87,5788,1.45,5.58,34,0.01
290	,2344.TW,華邦電,26.3,0.57,29093,0.42,21.09,7.98,1.27
291	,2345.TW,智邦,243.5,-1.81,3747,0.11,73.2,0.55,1.08
292	,2347.TW,聯強,53.8,0,2696,0.03,40.01,0.55,1.66
293	,2348.TW,海悅,99.2,-0.5,313,0,1.83,7.23,0
294	,2351.TW,順德,166,9.93,17388,3.08,29.64,7.85,12.96
295	,2352.TW,佳世達,31,0,4707,0.07,24.7,3.5,0.28
296	,2353.TW,宏碁,26,-1.14,9039,0.54,36.33,5.35,0.14
297	,2354.TW,鴻準,68.8,0.29,6706,0.04,23.72,5.71,1.08
298	,2355.TW,敬鵬,29.9,-0.17,476,0.09,18.2,4.74,0
299	,2356.TW,英業達,26.55,-1.3,8160,0.05,36.14,0.36,5.37
300	,2357.TW,華碩,353,-0.28,2455,0.03,59.58,1.54,3.11
301	,2358.TW,廷鑫,22.9,0.88,2930,1.02,2.88,43.49,0.07
302	,2359.TW,所羅門,17.35,-0.86,168,0,1.96,12.34,0
303	,2360.TW,致茂,181,-1.9,943,0,69.83,0.66,0.64
