符合條件商品
資料日期：2023年  1月  3日
策略,	00周KDSAR
序號,	代碼,	商品,	成交,	漲幅%,	總量,	k15,	SAR
執行時間：2023-01-03 23:26 符合檔數(1766)
406	,2465.TW,麗臺,41.8,10,10592,10,2
407	,2466.TW,冠西電,32.75,-1.5,53,0,1
408	,2467.TW,志聖,43.3,0.7,39,0,1
409	,2468.TW,華經,25.75,0.98,670,0,2
410	,2471.TW,資通,28.05,-0.53,169,0,2
411	,2472.TW,立隆電,54.2,1.12,181,0,2
412	,2474.TW,可成,170.5,0.89,1194,0,2
413	,2476.TW,鉅祥,45.3,1.23,209,0,1
414	,2477.TW,美隆電,19.6,0.26,18,7,2
415	,2478.TW,大毅,42.85,0.94,19,0,2
416	,2480.TW,敦陽科,84.6,-1.51,207,0,2
417	,2481.TW,強茂,59.1,2.07,926,3,2
418	,2482.TW,連宇,24.7,3.78,992,3,2
419	,2483.TW,百容,24.15,0.62,53,0,1
420	,2484.TW,希華,34.3,1.48,697,1,2
421	,2485.TW,兆赫,17.1,0.29,622,1,2
422	,2486.TW,一詮,22.1,1.84,1567,15,2
423	,2488.TW,漢平,28.9,0.35,43,0,2
424	,2489.TW,瑞軒,9.93,-0.7,977,3,2
425	,2491.TW,吉祥全,11.5,1.32,210,4,1
426	,2492.TW,華新科,79.2,0.25,552,6,2
427	,2493.TW,揚博,43.3,0.12,87,0,2
428	,2495.TW,普安,18.95,-1.04,1605,0,1
429	,2496.TW,卓越,47.55,0,7,0,2
430	,2497.TW,怡利電,72,2.56,883,0,2
431	,2498.TW,宏達電,58.1,4.31,25895,5,1
432	,2501.TW,國建,15.4,0.98,386,5,2
433	,2504.TW,國產,25.15,-0.4,886,2,2
434	,2505.TW,國揚,17.8,-0.84,125,5,1
435	,2506.TW,太設,9.12,0.55,352,1,1
436	,2509.TW,全坤建,14.7,0,30,3,1
437	,2511.TW,太子,10.5,0,389,4,2
438	,2514.TW,龍邦,16.75,-0.3,158,0,2
439	,2515.TW,中工,8.11,-0.37,1234,2,1
440	,2516.TW,新建,5,0,46,6,1
441	,2520.TW,冠德,29.65,1.54,1425,4,2
442	,2524.TW,京城,31.85,-0.93,9,0,1
443	,2527.TW,宏璟,20.75,0.24,138,15,2
444	,2528.TW,皇普,15.95,-0.31,41,0,1
445	,2530.TW,華建,17.2,-0.29,387,0,1
446	,2534.TW,宏盛,22.7,0.22,790,0,1
447	,2535.TW,達欣工,29.95,-0.66,288,2,1
448	,2536.TW,宏普,22.5,0,91,3,2
449	,2537.TW,聯上發,7.05,-0.84,389,15,2
450	,2538.TW,基泰,12.8,1.19,502,0,2
451	,2539.TW,櫻花建,31.85,-0.16,419,0,1
452	,2540.TW,愛山林,71.3,-2.06,97,2,1
453	,2542.TW,興富發,40.35,0.12,2197,0,1
454	,2543.TW,皇昌,9.12,-0.11,30,0,1
455	,2545.TW,皇翔,40.15,-0.74,122,0,1
456	,2546.TW,根基,52.1,1.17,174,3,2
457	,2547.TW,日勝生,9.05,-0.88,313,1,1
458	,2548.TW,華固,88.3,-0.79,234,3,1
459	,2596.TW,綠意,17.55,-0.28,49,16,2
460	,2597.TW,潤弘,127,1.2,103,11,2
461	,2601.TW,益航,8.65,-1.03,1776,3,2
462	,2603.TW,長榮,160,-1.84,23687,0,2
463	,2605.TW,新興,19.65,-1.75,2650,6,2
464	,2606.TW,裕民,47.5,-2.26,5980,7,2
465	,2607.TW,榮運,27.65,-0.54,1535,2,1
466	,2608.TW,嘉里大榮,37.6,-0.53,103,6,2
467	,2609.TW,陽明,64.6,-1.37,34641,3,2
468	,2610.TW,華航,18.9,-0.53,27118,3,2
469	,2611.TW,志信,13.4,-0.74,326,11,2
470	,2612.TW,中航,39.8,-4.21,2294,3,2
471	,2613.TW,中櫃,21.95,-3.09,630,10,1
472	,2614.TW,東森,22.85,-2.14,2798,5,2
473	,2615.TW,萬海,79.2,-1.12,21641,14,2
474	,2616.TW,山隆,31.7,-0.63,179,8,1
475	,2617.TW,台航,26.7,-0.74,805,1,2
476	,2618.TW,長榮航,28.15,0,36342,0,2
477	,2630.TW,亞航,16.7,0,21,3,1
478	,2633.TW,台灣高鐵,28.8,0.17,2186,0,2
479	,2634.TW,漢翔,35.4,-0.98,11102,0,2
480	,2636.TW,台驊投控,76.3,0.39,1452,8,2
481	,2637.TW,慧洋-KY,62.6,1.95,5413,4,2
482	,2640.TW,大車隊,89.5,0.11,29,1,2
483	,2641.TW,正德,18.55,-0.8,1241,3,2
484	,2642.TW,宅配通,49.45,-1.3,196,13,2
485	,2643.TW,捷迅,68.5,0.74,31,2,1
486	,2701.TW,萬企,12.1,-0.82,27,0,2
487	,2702.TW,華園,22.5,-0.66,297,3,2
488	,2704.TW,國賓,31.85,-2.3,106,0,2
489	,2705.TW,六福,16.55,-0.9,137,2,2
