符合條件商品
資料日期：2023年  1月  3日
策略,	05基本資料B
序號,	代碼,	商品,	成交,	漲幅%,	總量,	跌幅,	周K,	月均量,	等分坐標低檔
執行時間：2023-01-03 23:29 符合檔數(1732)
315	,2338.TW,光罩,87.5,3.31,6908,-18.98,74.54,7303.35,高
316	,2340.TW,台亞,34,0.74,506,-44.08,37.15,1470.9,低
317	,2342.TW,茂矽,37.8,1.89,529,-19.23,47.98,689.5,中
318	,2344.TW,華邦電,19.75,0.77,6210,-45.82,31.64,11333.85,低
319	,2345.TW,智邦,242,3.2,1554,-17.97,34.4,2110.15,中
320	,2347.TW,聯強,59.1,-0.17,2803,-25.94,71.17,6286.35,低
321	,2348.TW,海悅,63.7,0.16,27,-42.87,60.25,74.9,低
322	,2349.TW,錸德,7.69,1.05,727,-22.71,50.66,1329.55,低
323	,2351.TW,順德,97.5,1.14,487,-40.55,36.55,922.9,低
324	,2352.TW,佳世達,27.8,-1.24,2911,-19.42,63.79,6050.2,中
325	,2353.TW,宏碁,23.65,0.42,5704,-23.59,50.15,7965.1,低
326	,2354.TW,鴻準,51.3,-1.16,2552,-21.8,68.16,2658.8,中
327	,2355.TW,敬鵬,28.85,0.35,169,-24.58,40,533.9,中
328	,2356.TW,英業達,26.1,-0.57,5224,-1.32,87.92,12789,高
329	,2357.TW,華碩,270,0.56,1059,-29.78,74.21,3130.75,低
330	,2358.TW,廷鑫,14.05,0,524,-48.72,24.72,2242.25,低
331	,2359.TW,所羅門,27.2,4.21,4780,-16.95,74.4,3451.85,中
332	,2360.TW,致茂,182,0.55,240,-12.92,32.3,841.75,中
333	,2362.TW,藍天,30.6,0,64,-15.47,16.92,159.25,低
334	,2363.TW,矽統,16.2,-0.31,1263,-34.28,37.6,2373.3,低
335	,2364.TW,倫飛,101.5,2.42,783,-38.48,34.88,793.9,中
336	,2365.TW,昆盈,10.25,-1.44,455,-15.98,61.5,188.95,中
337	,2367.TW,燿華,17.6,2.03,1907,-28.46,21.53,5596.4,低
338	,2368.TW,金像電,89.2,2.76,5622,-14.23,39.83,4097.2,中
339	,2369.TW,菱生,13.05,0.77,329,-50.19,28.35,470.85,低
340	,2371.TW,大同,34.7,0.58,4406,-6.22,81.66,11883.9,高
341	,2373.TW,震旦行,77.9,0,50,-15.97,35.72,81.3,低
342	,2374.TW,佳能,20.3,0,327,-31.42,31.51,589.9,低
343	,2375.TW,凱美,53.9,0.75,133,-43.32,33.35,327.15,低
344	,2376.TW,技嘉,111,4.23,10764,-28.16,68.24,10878.8,中
345	,2377.TW,微星,122.5,2.51,1701,-23.91,54.7,5389.9,中
346	,2379.TW,瑞昱,289,2.85,1553,-43.33,41.71,3700.1,低
347	,2380.TW,虹光,11.3,1.35,322,-26.14,25.31,691.3,中
