符合條件商品
資料日期：2021年 11月 22日
策略,	02每日資料（大戶）
序號,	代碼,	商品,	成交,	漲幅%,	總量,	大戶持股比例
執行時間：2021-11-22 18:49 符合檔數(1743)
446	,2528.TW,皇普,21.85,0.23,26,85.33
447	,2530.TW,華建,14.7,1.03,608,79.24
448	,2534.TW,宏盛,23.5,0,1658,62.82
449	,2535.TW,達欣工,32.35,0.94,506,43.15
450	,2536.TW,宏普,22.2,0.23,319,70.37
451	,2537.TW,聯上發,10.6,0,1791,53.62
452	,2538.TW,基泰,13.15,1.15,1507,50.76
453	,2539.TW,櫻花建,31.15,0,128,86.9
454	,2540.TW,愛山林,74.2,-0.4,5,93.66
455	,2542.TW,興富發,46.55,-0.21,2897,63.59
456	,2543.TW,皇昌,7.78,-1.14,39,82.48
457	,2545.TW,皇翔,37.1,-0.4,250,73.13
458	,2546.TW,根基,50.2,0.8,202,56.63
459	,2547.TW,日勝生,10.25,-0.49,968,59.7
460	,2548.TW,華固,92.9,-0.85,241,55.5
461	,2596.TW,綠意,23.8,-1.86,345,58.99
462	,2597.TW,潤弘,123.5,2.07,228,77.29
463	,2601.TW,益航,13,1.96,8065,26.28
464	,2603.TW,長榮,119.5,2.14,126400,57.04
465	,2605.TW,新興,28,1.08,11340,34.94
466	,2606.TW,裕民,53.3,1.91,7288,55.51
467	,2607.TW,榮運,29.4,3.7,8939,69.29
468	,2608.TW,嘉里大榮,43.95,1.5,481,73.91
469	,2609.TW,陽明,110.5,2.79,84115,57.19
470	,2610.TW,華航,27.45,-0.72,409683,70.55
471	,2611.TW,志信,20.1,2.03,2306,46.51
472	,2612.TW,中航,56.8,3.09,2090,63.61
473	,2613.TW,中櫃,26.7,2.69,489,64.91
474	,2614.TW,東森,33.45,1.67,6918,35.68
475	,2615.TW,萬海,154.5,-0.96,27895,84.56
476	,2616.TW,山隆,36.7,0,61,53.83
477	,2617.TW,台航,37.25,4.49,6275,51.97
478	,2618.TW,長榮航,26.4,-2.94,262757,70.03
479	,2630.TW,亞航,19.75,-0.5,409,77.14
480	,2633.TW,台灣高鐵,29.7,1.02,6452,84.19
481	,2634.TW,漢翔,30.4,0.5,2983,56.23
482	,2636.TW,台驊投控,133.5,1.52,3634,35.41
483	,2637.TW,慧洋-KY,71.4,2.73,6092,63.09
484	,2640.TW,大車隊,74.1,0,40,58.17
485	,2641.TW,正德,24.55,1.87,2576,29.72
486	,2642.TW,宅配通,69.4,1.02,530,60.38
487	,2643.TW,捷迅,78.8,1.55,177,54.47
488	,2701.TW,萬企,12.45,0,45,85.79
489	,2702.TW,華園,26.45,2.32,448,70.58
