符合條件商品
資料日期：2021年 12月  3日
策略,	05準確度
序號,	代碼,	商品,	成交,	漲幅%,	總量,	融資,	外資,	自營商,	投信,	融券,	借券
執行時間：2021-12-05 18:05 符合檔數(1451)
239	,2069.TW,運錩,35.3,0.57,2789,0.54,0.6,0.3,0.09,0.15,0.41
240	,2070.TW,精湛,33.7,-0.44,36,0.48,0.25,0.05,0,0,0.17
241	,2101.TW,南港,39.15,1.69,1138,0.61,0.54,0.58,0.16,0.43,0.4
242	,2102.TW,泰豐,27.8,1.46,2169,0.54,0.59,0.55,0.1,0.32,0.44
243	,2103.TW,台橡,32.85,0.46,1314,0.57,0.66,0.51,0.27,0.45,0.52
244	,2104.TW,國際中橡,25.6,0.79,2668,0.53,0.58,0.6,0.14,0.45,0.48
245	,2105.TW,正新,34.05,-0.15,2592,0.46,0.61,0.61,0.56,0.39,0.49
246	,2106.TW,建大,30,1.01,642,0.42,0.62,0.54,0.36,0.43,0.55
247	,2107.TW,厚生,22.8,0.66,271,0.5,0.55,0.46,0.05,0.35,0.43
248	,2108.TW,南帝,84.5,-0.82,3079,0.56,0.63,0.48,0.54,0.37,0.49
249	,2109.TW,華豐,16.5,0.3,95,0.19,0.58,0.26,0,0.2,0.57
250	,2114.TW,鑫永銓,120,1.69,123,0.56,0.58,0.43,0.08,0.16,0.35
251	,2115.TW,六暉-KY,39.35,0,112,0.5,0.53,0.26,0,0,0.34
252	,2201.TW,裕隆,41.45,0.36,1237,0.55,0.64,0.58,0.42,0.39,0.46
253	,2204.TW,中華,65.2,0.31,270,0.5,0.56,0.56,0.33,0.45,0.44
254	,2206.TW,三陽工業,26.2,0.19,407,0.47,0.65,0.59,0,0.39,0.46
255	,2207.TW,和泰車,612,-1.92,237,0.33,0.81,0.5,0.51,0.15,0.45
256	,2208.TW,台船,21.95,0.46,1441,0.64,0.63,0.6,0,0.31,0.6
257	,2211.TW,長榮鋼,52.7,0,827,0.5,0.59,0.17,0,0,0.33
258	,2221.TW,大甲,42.65,3.27,1019,0.6,0.35,0.22,0,0.14,0.23
259	,2228.TW,劍麟,67.3,0.45,38,0.59,0.65,0.55,0.07,0.28,0.51
260	,2230.TW,泰茂,13.35,-0.37,27,0.53,0.45,0,0,0.18,0.16
261	,2231.TW,為升,181.5,1.4,713,0.61,0.66,0.7,0.62,0.41,0.5
262	,2233.TW,宇隆,95.8,1.05,378,0.59,0.55,0.47,0.51,0.38,0.41
263	,2235.TW,謚源,39.15,0.38,7,0.45,0.26,0,0,0,0
264	,2236.TW,百達-KY,26.4,0,26,0.52,0.5,0.29,0,0,0.16
265	,2239.TW,英利-KY,82.4,1.48,263,0.56,0.61,0.45,0.26,0.33,0.52
266	,2241.TW,艾姆勒,50.7,-1.17,242,0.71,0.56,0.3,0,0.3,0.47
267	,2243.TW,宏旭-KY,18.95,3.84,457,0.51,0.47,0.18,0,0.14,0.25
268	,2247.TW,汎德永業,210.5,0.48,25,0.45,0.52,0.33,0,0,0.46
269	,2301.TW,光寶科,60.6,0.17,5895,0.41,0.6,0.48,0.55,0.41,0.41
270	,2302.TW,麗正,17.3,1.47,229,0.53,0.52,0.2,0,0.41,0.33
271	,2303.TW,聯電,68.3,2.4,184870,0.47,0.63,0.63,0.59,0.25,0.42
272	,2305.TW,全友,8.78,-0.34,772,0.58,0.66,0.36,0,0.25,0.45
273	,2308.TW,台達電,261.5,0,5304,0.45,0.68,0.55,0.56,0.41,0.43
274	,2312.TW,金寶,13.2,1.15,5608,0.57,0.53,0.57,0.13,0.34,0.46
275	,2313.TW,華通,41.2,1.6,6118,0.47,0.64,0.75,0.66,0.37,0.44
276	,2314.TW,台揚,78.2,1.56,3125,0.65,0.65,0.57,0.45,0.38,0.45
277	,2316.TW,楠梓電,29.1,-0.34,87,0.47,0.57,0.43,0,0.37,0.46
278	,2317.TW,鴻海,105,0,18385,0.51,0.71,0.71,0.62,0.43,0.44
279	,2323.TW,中環,9,0.67,5388,0.43,0.7,0.59,0.29,0.37,0.52
280	,2324.TW,仁寶,23.3,-0.21,15363,0.46,0.69,0.43,0.46,0.41,0.43
281	,2327.TW,國巨,472.5,1.61,3369,0.49,0.67,0.66,0.67,0.42,0.42
282	,2328.TW,廣宇,38,0.4,1578,0.62,0.61,0.67,0.26,0.41,0.47
283	,2329.TW,華泰,25.85,1.17,7098,0.61,0.55,0.6,0.17,0.3,0.41
284	,2330.TW,台積電,608,-1.14,27572,0.29,0.65,0.52,0.59,0.35,0.41
285	,2331.TW,精英,23.35,0,3683,0.53,0.63,0.58,0,0.35,0.53
286	,2332.TW,友訊,18.2,0.55,1207,0.52,0.63,0.63,0,0.32,0.46
287	,2337.TW,旺宏,42.4,-0.35,19225,0.5,0.71,0.73,0.57,0.37,0.43
288	,2338.TW,光罩,109.5,9.94,54480,0.58,0.67,0.66,0.46,0.37,0.47
289	,2340.TW,光磊,58.8,-0.17,43393,0.65,0.57,0.72,0.08,0.37,0.47
290	,2342.TW,茂矽,49.3,1.86,5234,0.68,0.62,0.46,0.06,0.4,0.48
291	,2344.TW,華邦電,32.6,2.68,48890,0.52,0.65,0.74,0.55,0.36,0.47
292	,2345.TW,智邦,277,-2.46,2749,0.28,0.58,0.62,0.63,0.35,0.47
