符合條件商品
資料日期：2021年 12月  6日
策略,	02每日資料（大戶）
序號,	代碼,	商品,	成交,	漲幅%,	總量,	大戶持股比例
執行時間：2021-12-07 02:15 符合檔數(1743)
325	,2352.TW,佳世達,30.25,1,8992,55.35
326	,2353.TW,宏碁,29.75,-1.33,57994,45.56
327	,2354.TW,鴻準,65.5,1.71,3806,55.88
328	,2355.TW,敬鵬,35.1,-2.5,8074,42.44
329	,2356.TW,英業達,25.55,-0.39,8479,78.05
330	,2357.TW,華碩,365,-0.14,1622,59.16
331	,2358.TW,廷鑫,21.25,-1.16,702,30
332	,2359.TW,所羅門,17.2,-0.58,305,43.49
333	,2360.TW,致茂,188,3.3,1198,75.74
334	,2362.TW,藍天,31.6,0.48,485,80.71
335	,2363.TW,矽統,26.65,-0.37,10798,33.97
336	,2364.TW,倫飛,20,-0.5,17,53.91
337	,2365.TW,昆盈,11.1,0.91,1247,30.49
338	,2367.TW,燿華,18.5,0,2514,25.28
339	,2368.TW,金像電,71.5,-2.19,7099,71.75
340	,2369.TW,菱生,26.6,-1.48,7574,31.19
341	,2371.TW,大同,34.15,-1.3,17562,71.58
342	,2373.TW,震旦行,90,-0.33,8,87.91
343	,2374.TW,佳能,23.9,0.21,7262,35.87
344	,2375.TW,凱美,114.5,-1.72,5802,18.88
345	,2376.TW,技嘉,134.5,-4.61,23355,65.47
346	,2377.TW,微星,163.5,1.24,7626,72.13
347	,2379.TW,瑞昱,577,3.96,2993,60.6
348	,2380.TW,虹光,13.65,-0.73,2967,40.98
349	,2382.TW,廣達,87.3,-0.57,4424,86.65
350	,2383.TW,台光電,275.5,0.36,2830,67.91
351	,2385.TW,群光,81.8,0.86,2960,68.32
352	,2387.TW,精元,45.8,-1.4,1075,67.61
353	,2388.TW,威盛,90,-0.44,16026,72.13
354	,2390.TW,云辰,21.9,3.79,3175,33.85
355	,2392.TW,正崴,38.05,-0.26,471,44.21
356	,2393.TW,億光,51.9,0.19,2459,50.78
357	,2395.TW,研華,377.5,0.94,1041,79.86
358	,2397.TW,友通,60,0.17,33,81.52
359	,2399.TW,映泰,23.15,-2.73,4111,24.61
360	,2401.TW,凌陽,40.8,-1.09,9227,37.01
361	,2402.TW,毅嘉,16.55,-0.6,516,37.43
362	,2404.TW,漢唐,173.5,-1.98,1294,36.15
363	,2405.TW,浩鑫,12.7,0.4,1587,19.09
364	,2406.TW,國碩,25.45,2.41,30205,13.55
365	,2408.TW,南亞科,77.5,-1.65,14634,84.46
366	,2409.TW,友達,21.1,1.2,65835,54.99
367	,2412.TW,中華電,114,0.44,3216,78.49
368	,2413.TW,環科,23.05,3.6,12955,52.66
369	,2414.TW,精技,39,-0.38,195,49.96
370	,2415.TW,錩新,46.7,-0.53,3021,51.29
371	,2417.TW,圓剛,24.9,-1.58,568,31.08
372	,2419.TW,仲琦,24,-0.41,4071,67.02
373	,2420.TW,新巨,47.2,1.4,2155,44.79
374	,2421.TW,建準,41.45,-0.84,830,48.11
375	,2423.TW,固緯,28.65,1.6,203,63.37
376	,2424.TW,隴華,22.3,3.24,2,77.98
377	,2425.TW,承啟,27.35,0,419,66.79
378	,2426.TW,鼎元,31.9,10,30116,33.76
379	,2427.TW,三商電,11,-0.45,88,66.92
380	,2428.TW,興勤,151.5,-1.3,350,58.22
381	,2429.TW,銘旺科,24.5,-3.54,284,67.63
382	,2430.TW,燦坤,40.9,-2.15,550,62.82
383	,2431.TW,聯昌,12.85,-1.53,914,38.05
384	,2433.TW,互盛電,51.3,0,27,79.59
385	,2434.TW,統懋,40.15,0.37,24,74.4
386	,2436.TW,偉詮電,99.3,0.3,16834,19.68
387	,2438.TW,翔耀,13.9,1.83,123,57.77
388	,2439.TW,美律,93.7,-0.85,1100,26.73
389	,2440.TW,太空梭,17.1,3.32,441,63.43
390	,2441.TW,超豐,78.2,0.51,898,71.78
391	,2442.TW,新美齊,12.5,9.65,12674,54.17
392	,2443.TW,億麗,2.96,-0.67,104,45.23
393	,2444.TW,兆勁,11.8,-1.67,290,21.37
394	,2449.TW,京元電子,44.95,1.24,8009,67.45
395	,2450.TW,神腦,33,0.15,62,77.54
396	,2451.TW,創見,70.3,0.72,347,66.79
397	,2453.TW,凌群,27,2.47,1141,58.13
398	,2454.TW,聯發科,1085,2.36,4651,69.41
399	,2455.TW,全新,143.5,-2.71,2575,48.53
400	,2456.TW,奇力新,91.8,-1.29,630,34.48
401	,2457.TW,飛宏,37.2,2.76,5782,27.86
402	,2458.TW,義隆,160.5,-0.93,1070,45.19
403	,2459.TW,敦吉,58.4,-0.17,32,41.54
404	,2460.TW,建通,26.85,-0.74,675,58.34
405	,2461.TW,光群雷,23.15,1.31,619,31.39
406	,2462.TW,良得電,28.25,0.71,515,58.2
407	,2464.TW,盟立,42.25,0.72,272,27.18
408	,2465.TW,麗臺,71.5,-3.77,4333,2.56
409	,2466.TW,冠西電,35.5,-1.93,75,90.96
410	,2467.TW,志聖,50.7,0,226,43.56
411	,2468.TW,華經,13.15,0.38,14,69.17
412	,2471.TW,資通,25.45,1.19,73,14.87
413	,2472.TW,立隆電,67,-1.76,1007,47.53
414	,2474.TW,可成,152,1.67,2345,57.84
415	,2476.TW,鉅祥,63.9,1.27,9076,43.31
416	,2477.TW,美隆電,31.45,0.8,310,67.27
417	,2478.TW,大毅,66.3,-0.75,197,41.96
418	,2480.TW,敦陽科,72,0,63,20.07
419	,2481.TW,強茂,113,1.35,26360,52.2
420	,2482.TW,連宇,15.8,9.72,8807,47.24
421	,2483.TW,百容,23.8,-0.83,90,55.93
422	,2484.TW,希華,39.25,-2.61,6243,18.41
423	,2485.TW,兆赫,21.25,-0.23,858,23.97
424	,2486.TW,一詮,53.1,-0.75,4146,28.17
425	,2488.TW,漢平,27.15,-0.37,57,35.55
426	,2489.TW,瑞軒,17.95,-0.55,4382,29.14
427	,2491.TW,吉祥全,21.95,1.39,296,61.6
428	,2492.TW,華新科,169,-2.03,2870,56.5
429	,2493.TW,揚博,37.7,0.27,79,37.24
430	,2495.TW,普安,15.1,0.67,399,57.19
431	,2496.TW,卓越,49.4,0,9,28.22
432	,2497.TW,怡利電,77.6,9.92,3543,57.75
433	,2498.TW,宏達電,86.1,1.06,83684,39.55
434	,2501.TW,國建,19.35,-0.51,999,80.02
435	,2504.TW,國產,27.25,1.3,2660,66.68
436	,2505.TW,國揚,23.8,0.63,183,65.13
437	,2506.TW,太設,9.74,-0.1,37,72.91
438	,2509.TW,全坤建,18.25,0,154,65.09
439	,2511.TW,太子,13.2,0.76,947,76.49
440	,2514.TW,龍邦,18.05,0.56,116,86.96
441	,2515.TW,中工,8.79,0.11,2096,41.09
442	,2516.TW,新建,6.02,0.33,176,45.23
443	,2520.TW,冠德,38.65,-0.26,885,64.14
444	,2524.TW,京城,41.55,-0.84,64,90.28
445	,2527.TW,宏璟,32.5,0.15,324,74.81
446	,2528.TW,皇普,21.7,0.46,3,85.33
447	,2530.TW,華建,14.5,-0.68,476,79.3
448	,2534.TW,宏盛,22.8,1.11,660,63.89
449	,2535.TW,達欣工,32,-0.47,397,43.54
450	,2536.TW,宏普,22.85,1.33,808,70.57
451	,2537.TW,聯上發,10.75,1.42,2343,53.55
452	,2538.TW,基泰,13.8,-1.43,3481,51.46
453	,2539.TW,櫻花建,31.25,0.32,139,86.91
454	,2540.TW,愛山林,74,-1.07,12,93.63
455	,2542.TW,興富發,46.4,0.22,2398,62.78
456	,2543.TW,皇昌,7.55,-0.53,117,82.48
457	,2545.TW,皇翔,37,0.14,163,73.1
458	,2546.TW,根基,49.25,-0.91,186,56.63
459	,2547.TW,日勝生,10,0,727,59.03
460	,2548.TW,華固,93.4,1.41,307,55.98
461	,2596.TW,綠意,23.7,1.07,133,58.97
462	,2597.TW,潤弘,120.5,-0.41,140,77.48
463	,2601.TW,益航,13.5,1.89,11887,26.93
464	,2603.TW,長榮,141,5.62,242316,58.48
465	,2605.TW,新興,30.05,4.34,16500,35.28
466	,2606.TW,裕民,57.5,2.31,24581,57.02
467	,2607.TW,榮運,30.05,2.21,12961,69.53
468	,2608.TW,嘉里大榮,44.35,-0.56,571,73.9
469	,2609.TW,陽明,125.5,3.72,124412,58.28
470	,2610.TW,華航,26.55,2.91,248349,69.37
471	,2611.TW,志信,20.45,1.74,3017,46.94
472	,2612.TW,中航,59,3.33,3193,63.61
473	,2613.TW,中櫃,27.2,1.87,604,64.88
474	,2614.TW,東森,32.3,-0.92,5366,35.16
475	,2615.TW,萬海,176.5,7.29,72991,84.95
476	,2616.TW,山隆,36.2,0.28,56,53.8
477	,2617.TW,台航,38.35,3.37,7201,52.72
478	,2618.TW,長榮航,26.2,4.17,133736,67.67
479	,2630.TW,亞航,19.05,0.79,189,77.14
480	,2633.TW,台灣高鐵,29.55,-0.34,3847,84.26
481	,2634.TW,漢翔,29.75,1.36,1722,56.83
482	,2636.TW,台驊投控,145,2.11,6668,35.16
483	,2637.TW,慧洋-KY,74.1,1.51,8706,64.24
484	,2640.TW,大車隊,73.9,-0.14,39,58.16
485	,2641.TW,正德,28.05,0.72,27560,33.53
486	,2642.TW,宅配通,74,-1.2,630,60.38
487	,2643.TW,捷迅,78.2,0.39,165,54.41
488	,2701.TW,萬企,12.1,-0.41,98,85.81
489	,2702.TW,華園,25.4,-1.17,151,70.58
