符合條件商品
資料日期：2021年 12月  6日
策略,	01每日資料
序號,	代碼,	商品,	成交,	漲幅%,	總量,	融券使用率,	法人持股比例,	融資使用率,	投信持股比例
執行時間：2021-12-07 02:15 符合檔數(1451)
344	,2425.TW,承啟,27.35,0,419,0,19.45,16.26,0
345	,2426.TW,鼎元,31.9,10,30116,0.86,10.5,21.7,0.09
346	,2427.TW,三商電,11,-0.45,88,0,2.47,9.56,0
347	,2428.TW,興勤,151.5,-1.3,350,0.01,15.01,7.45,0.1
348	,2430.TW,燦坤,40.9,-2.15,550,0.21,9.25,4.81,0.02
349	,2431.TW,聯昌,12.85,-1.53,914,0.1,1.06,14.75,0
350	,2433.TW,互盛電,51.3,0,27,0,0.87,0.11,0
351	,2434.TW,統懋,40.15,0.37,24,0,1.09,12.2,0
352	,2436.TW,偉詮電,99.3,0.3,16834,4.27,11.02,49.16,3.1
353	,2439.TW,美律,93.7,-0.85,1100,0.51,17.37,13.4,0
354	,2441.TW,超豐,78.2,0.51,898,0.02,25.2,1.77,4.54
