符合條件商品
資料日期：2021年 12月  6日
策略,	05準確度
序號,	代碼,	商品,	成交,	漲幅%,	總量,	融資,	外資,	自營商,	投信,	融券,	借券,	法人
執行時間：2021-12-07 02:05 符合檔數(1393)
216	,2024.TW,志聯,20,0.5,121,0.5,0.44,0.21,0,0.23,0.34,0.44
217	,2027.TW,大成鋼,46.2,0,17226,0.57,0.59,0.58,0.51,0.38,0.55,0.65
218	,2028.TW,威致,41.6,0.6,2419,0.76,0.47,0.34,0,0.32,0.64,0.47
219	,2029.TW,盛餘,32.3,-0.15,731,0.47,0.57,0.46,0.21,0.33,0.43,0.57
220	,2030.TW,彰源,30.75,0.16,4216,0.53,0.51,0.35,0.11,0.28,0.39,0.51
221	,2031.TW,新光鋼,57.3,0,1184,0.6,0.61,0.54,0.46,0.37,0.51,0.65
222	,2032.TW,新鋼,23.5,0.64,230,0.56,0.49,0.31,0.14,0.26,0.4,0.48
223	,2033.TW,佳大,17.35,0.87,196,0.52,0.47,0.42,0.08,0.25,0.46,0.43
224	,2034.TW,允強,31.7,0.16,902,0.55,0.57,0.52,0.18,0.36,0.44,0.58
225	,2038.TW,海光,35.05,1.45,3483,0.57,0.54,0.38,0,0.24,0.47,0.54
226	,2049.TW,上銀,286.5,1.42,1453,0.39,0.71,0.69,0.69,0.36,0.43,0.75
227	,2059.TW,川湖,490,0,200,0.41,0.62,0.47,0.32,0.21,0.49,0.67
228	,2062.TW,橋椿,27.3,0,127,0.44,0.64,0.28,0,0.34,0.54,0.64
229	,2063.TW,世鎧,36.85,-1.73,178,0.44,0.35,0.05,0,0.17,0,0.38
230	,2065.TW,世豐,47.9,-0.31,66,0.51,0.54,0.28,0,0.31,0.48,0.56
231	,2066.TW,世德,58.6,-3.46,59,0.41,0.38,0,0,0,0.11,0.37
232	,2069.TW,運錩,35,-0.85,1965,0.54,0.6,0.31,0.09,0.15,0.42,0.59
233	,2070.TW,精湛,34.2,1.48,63,0.49,0.25,0.05,0,0,0.17,0.24
234	,2101.TW,南港,39.1,-0.13,805,0.61,0.54,0.58,0.14,0.43,0.41,0.53
235	,2102.TW,泰豐,27.8,0,1367,0.54,0.59,0.54,0.1,0.32,0.44,0.6
236	,2103.TW,台橡,33.85,3.04,6895,0.57,0.66,0.51,0.25,0.45,0.52,0.69
237	,2104.TW,國際中橡,25.85,0.98,2580,0.54,0.59,0.6,0.13,0.46,0.48,0.61
238	,2105.TW,正新,34.85,2.35,5088,0.47,0.61,0.61,0.56,0.39,0.49,0.63
239	,2106.TW,建大,30.3,1,670,0.43,0.61,0.54,0.35,0.41,0.55,0.63
240	,2107.TW,厚生,22.65,-0.66,291,0.51,0.55,0.46,0.05,0.34,0.43,0.57
241	,2108.TW,南帝,84.2,-0.36,1799,0.56,0.64,0.48,0.54,0.36,0.5,0.64
242	,2109.TW,華豐,16.5,0,62,0.19,0.58,0.26,0,0.2,0.52,0.59
243	,2114.TW,鑫永銓,120.5,0.42,54,0.57,0.57,0.42,0,0.16,0.35,0.59
244	,2115.TW,六暉-KY,39.7,0.89,81,0.5,0.54,0.26,0,0,0.35,0.54
245	,2201.TW,裕隆,41.55,0.24,1320,0.55,0.63,0.58,0.42,0.39,0.46,0.65
