符合條件商品
資料日期：2023年  4月 19日
策略,	11主力賣比
序號,	代碼,	商品,	成交,	漲幅%,	總量,	主力賣出比
執行時間：2023-04-19 22:52 符合檔數(588)
462	,6291.TW,沛亨,137,-5.52,23,1.73
463	,6292.TW,迅德,44.85,-1.43,44,1.61
464	,6404.TW,通訊-KY,21.5,-0.23,16,2.25
465	,6411.TW,晶焱,121.5,0.83,6046,1.46
466	,6425.TW,易發,20.9,-0.95,142,1.69
467	,6431.TW,光麗-KY,21.35,1.91,37,1.62
468	,6456.TW,GIS-KY,82.2,-1.91,1401,1.87
469	,6462.TW,神盾,85,-1.51,245,1.43
470	,6494.TW,九齊,76.6,-2.05,293,1.54
471	,6496.TW,科懋,32,-0.62,54,1.84
472	,6506.TW,雙邦,19.9,0.25,46,3.2
473	,6508.TW,惠光,39.6,-1.12,399,1.76
474	,6514.TW,芮特-KY,60.8,0.33,27,1.46
475	,6525.TW,捷敏-KY,75.6,-0.92,161,1.69
476	,6530.TW,創威,28.9,-1.37,362,1.43
477	,6548.TW,長科*,43.8,-0.57,2542,1.89
478	,6556.TW,勝品,147,-3.92,120,1.65
479	,6574.TW,霈方,57.7,4.34,81,1.52
480	,6576.TW,逸達,98,-1.11,1594,1.41
